POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA4217,7689,7639,15325,1154,1147,2302,1317,1317,2635,630,630,1258,5400,5582,10988,90,100,186,93,81,172,55,60,120,41,48,91,59,55,116,0,4,5,7700,7870,15568,2607,2691,5290,262,192,456,11718,11897,23615,2466,2319,4785,21870,21852,43725
POA4218,6733,7040,13772,930,897,1825,1069,1189,2258,473,591,1065,4212,4548,8758,75,92,173,62,72,126,55,47,96,26,22,47,50,61,115,0,3,3,6024,6629,12646,1231,1493,2722,214,189,398,8395,9200,17598,1247,1251,2500,16381,17496,33873
POA4220,7320,8119,15442,647,745,1387,845,977,1822,339,469,802,3269,3660,6929,48,57,104,65,82,148,19,26,44,26,27,47,44,54,103,0,4,4,4656,5349,10003,691,877,1563,183,189,377,6174,7157,13328,1036,1074,2106,14530,16352,30884
POA4221,6793,7208,13996,759,841,1600,860,1054,1914,274,344,620,2784,3179,5962,28,46,77,44,49,93,23,29,50,33,26,60,37,43,78,0,0,0,4074,4777,8853,507,573,1083,167,172,340,5514,6359,11871,731,764,1497,13034,14334,27368
POA4223,3896,4149,8043,368,380,742,448,513,965,107,126,232,1364,1562,2926,10,20,31,27,18,43,6,11,13,9,7,13,12,16,28,0,0,0,1983,2270,4253,204,238,440,80,87,166,2627,2973,5599,328,342,670,6852,7464,14315
POA4224,1563,1611,3176,244,258,508,273,293,564,68,80,143,624,690,1315,7,11,20,15,16,32,9,9,22,8,8,21,3,4,8,0,0,0,1008,1111,2123,116,163,288,47,53,102,1421,1593,3015,268,291,559,3257,3492,6751
POA4225,1560,1548,3113,221,222,440,628,667,1297,91,95,185,730,840,1572,5,9,19,27,30,62,3,9,16,11,7,20,14,22,39,0,0,0,1513,1695,3211,247,307,555,58,60,117,2042,2286,4321,337,323,664,3940,4160,8099
POA4226,7448,8210,15657,830,922,1754,963,1144,2109,355,430,782,4709,5576,10282,99,109,205,70,113,183,52,62,117,31,31,64,35,53,92,0,0,0,6314,7512,13830,945,1057,2003,242,260,504,8337,9755,18090,825,946,1773,16612,18907,35518
POA4227,4681,5316,9998,641,701,1347,744,837,1587,217,265,487,2707,3064,5763,53,64,116,37,44,79,36,34,68,21,17,41,26,28,56,0,0,0,3831,4365,8192,692,811,1505,185,228,410,5346,6103,11449,586,567,1151,10613,11978,22598
POA4228,1580,1555,3133,61,74,133,162,158,320,64,54,114,489,579,1065,0,3,3,3,3,7,4,3,11,9,13,19,4,0,3,0,0,0,732,809,1536,54,71,127,26,19,45,868,971,1838,160,179,338,2609,2705,5319
POA4270,1300,1216,2516,53,66,116,60,73,135,26,23,49,477,514,992,8,5,13,0,0,0,0,4,7,4,3,8,0,0,0,0,0,0,570,620,1198,28,22,54,13,12,27,665,722,1393,122,116,235,2091,2059,4148
POA4272,1973,2115,4084,411,464,873,135,159,298,39,40,85,769,843,1609,12,14,24,13,11,25,0,3,3,5,4,6,14,13,23,0,0,0,985,1095,2080,105,108,213,27,32,58,1533,1699,3230,230,222,456,3736,4031,7768
POA4275,922,861,1781,109,136,250,56,64,118,26,22,53,466,516,978,5,7,15,10,7,20,3,8,9,4,0,9,8,7,17,0,0,0,577,630,1209,39,46,86,20,14,35,748,832,1579,177,151,325,1847,1847,3689
POA4280,5134,4994,10134,388,382,767,264,307,568,82,93,173,2974,3246,6225,20,17,40,25,28,51,9,6,16,16,21,33,16,15,32,3,0,6,3405,3743,7148,134,142,278,117,103,229,4050,4369,8414,639,595,1235,9821,9965,19790
POA4285,5383,5494,10881,958,1059,2019,239,296,538,98,113,214,2346,2378,4725,25,26,51,30,38,73,15,16,25,16,24,39,3,5,14,0,0,0,2770,2901,5668,98,118,219,112,91,203,3933,4173,8108,774,769,1544,10094,10437,20530
POA4287,205,212,418,43,33,71,6,3,10,0,0,4,50,50,103,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,66,117,3,0,3,6,0,3,105,96,201,250,34,284,561,343,903
POA4300,13058,13248,26309,2285,2381,4667,984,1066,2055,406,414,830,10082,10675,20759,194,191,380,150,140,288,64,73,135,155,133,286,111,109,218,0,0,0,12153,12799,24955,1445,1650,3094,415,326,743,16303,17157,33453,1624,1552,3171,30981,31953,62936
POA4301,6658,6642,13305,1397,1483,2880,483,541,1026,157,173,330,5201,5647,10845,80,92,173,55,55,112,31,31,59,49,37,80,20,13,34,0,0,0,6070,6592,12660,715,788,1503,246,232,474,8433,9090,17517,1130,1075,2204,16217,16802,33019
POA4303,904,966,1868,53,68,126,30,27,53,17,17,35,558,564,1124,0,3,8,0,7,12,0,0,4,5,0,6,0,3,6,0,0,0,613,623,1236,48,52,101,43,32,75,759,775,1535,265,281,545,1931,2017,3946
POA4304,4216,4175,8390,490,522,1011,136,160,293,69,70,138,2418,2593,5009,19,14,34,23,26,48,10,14,24,9,11,21,4,8,15,0,0,0,2686,2900,5580,140,175,317,132,96,224,3440,3687,7128,611,606,1222,8269,8465,16737
POA4305,14895,15485,30377,1538,1825,3362,665,745,1413,275,272,543,8622,9557,18180,112,119,223,84,86,168,61,49,103,135,126,259,47,62,105,0,0,0,9997,11010,21004,428,493,919,415,377,788,12383,13702,26082,1897,2013,3915,29179,31200,60375
POA4306,9972,9734,19706,744,898,1644,623,630,1250,253,222,473,6318,6867,13184,88,82,177,87,85,169,32,26,60,106,85,193,61,54,116,0,0,0,7572,8051,15627,385,407,797,234,206,445,8939,9566,18507,1886,843,2728,20791,20143,40939
POA4307,460,455,914,62,65,135,13,17,32,9,7,11,128,128,255,0,0,4,0,0,0,3,0,4,3,0,5,0,0,0,0,0,0,158,164,321,3,9,8,5,7,11,231,238,469,57,52,109,753,744,1500
