POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA2307,4,19,13,8,16,17,3,9,0,89,3,13,5,8,32,9,8,9,11,88,117,345,285,187,481,396,111,145,32,2100
POA2308,0,6,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,13,18,97,312,44,6,3,0,0,0,23,493
POA2311,0,0,3,0,3,3,0,0,0,15,4,0,5,5,0,5,0,5,0,20,25,64,55,29,44,74,23,89,5,411
POA2312,0,0,3,0,8,4,0,0,0,17,0,6,5,0,4,4,0,3,5,29,37,92,85,62,110,99,33,72,17,613
POA2315,19,38,37,17,35,40,10,12,5,211,10,45,17,13,29,21,5,19,49,223,486,1176,816,468,1057,984,299,543,105,5942
POA2316,11,29,19,11,11,22,0,15,0,114,10,4,7,5,17,20,3,3,14,93,229,506,314,222,451,501,139,270,34,2656
POA2317,8,17,14,7,15,29,0,9,0,106,11,12,9,7,12,16,6,9,11,85,191,507,311,188,443,395,116,210,29,2392
POA2318,19,41,25,26,63,64,16,20,4,277,22,23,14,20,29,31,5,41,44,231,410,942,717,505,1315,1311,365,691,108,6361
POA2319,13,13,13,5,27,16,4,3,3,99,11,11,7,15,24,16,4,6,32,117,192,417,320,219,506,420,114,235,51,2483
POA2320,66,129,101,63,175,159,52,92,11,843,40,79,57,35,117,138,37,80,122,706,1139,2666,2080,1428,3743,3527,1192,2575,268,18625
