POA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA4610,5,0,0,72,0,0,0,0,0,0,0,0,0,10,68,92,3,0,0,3,0,5,0,0,5,21,14,47,322,86,11,248,30,170,19,103,27,675,102,1789
POA4611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,6,0,16
POA4612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,5,0,15,0,27
POA4613,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,3,21,5,4,8,0,7,0,12,4,62,7,135
POA4614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,4,0,4,20,3,0,8,3,10,0,8,0,117,15,185
POA4615,0,4,0,24,3,0,0,0,0,4,0,0,0,5,56,65,0,0,0,0,0,0,0,0,0,13,8,28,103,36,7,84,9,63,9,60,5,547,71,998
POA4620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,7,6,0,0,0,8,0,5,0,35,5,66
POA4621,0,0,0,3,0,0,0,0,0,0,0,0,0,3,17,19,0,0,0,0,0,0,0,0,0,5,6,12,22,6,3,20,5,18,7,18,7,127,24,260
POA4625,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,21,0,0,0,0,0,0,0,0,0,4,0,12,69,25,8,54,8,22,0,22,0,112,21,343
POA4626,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,5,0,11,80,14,6,32,7,28,3,13,3,65,11,260
POA4627,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,15,0,0,4,0,0,0,0,0,0,0,3,9,33,0,4,14,0,7,0,3,0,25,9,103
POA4630,0,0,0,12,0,0,0,0,0,0,0,0,0,0,27,32,0,0,0,0,0,0,0,0,0,3,6,15,71,18,4,48,0,18,4,21,8,98,39,343
