POA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA3670,8,0,4,0,0,0,0,0,0,12,5,0,0,0,3,0,0,0,0,17,10,0,31,12,4,3,4,12,0,80,0,0,4,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,40,34,40,20,14,7,10,13,0,175
POA3672,47,33,19,33,36,13,4,9,0,190,42,58,29,114,48,15,7,27,7,352,126,38,403,227,120,77,84,128,26,1223,4,5,8,14,8,12,8,21,0,74,7,4,5,12,8,3,8,18,0,64,0,7,9,0,0,0,0,6,0,22,15,8,15,18,10,4,8,22,14,124,362,672,505,488,287,147,128,249,56,2902
POA3673,17,10,4,3,0,0,0,0,4,39,13,15,5,10,10,6,4,0,3,70,48,10,81,23,25,15,22,30,0,248,0,0,3,4,0,6,0,5,0,14,6,0,0,8,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,7,11,5,5,0,0,0,5,0,0,25,151,128,101,60,52,29,31,44,14,618
POA3675,12,13,3,9,5,0,0,0,0,47,13,11,13,21,12,0,5,5,0,83,46,16,97,41,28,12,22,25,0,286,4,0,9,6,4,0,0,6,0,24,3,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,3,0,6,0,4,5,3,3,0,22,125,178,128,90,79,28,30,45,13,723
POA3677,52,57,22,72,46,16,6,12,4,295,91,114,45,234,87,39,14,37,14,684,223,84,723,395,230,162,178,248,31,2269,9,0,9,25,23,22,11,19,0,125,12,8,18,34,14,16,4,21,7,129,3,6,4,3,12,0,0,8,0,39,18,18,11,30,17,21,16,23,27,175,629,1542,910,980,539,320,252,414,86,5665
POA3678,50,38,13,35,22,9,6,6,3,185,40,53,23,58,31,9,3,11,5,237,157,30,305,97,89,46,73,90,8,908,3,0,3,6,12,9,6,10,0,51,8,8,0,8,10,3,6,6,0,52,4,3,0,0,0,0,0,0,0,14,13,10,8,8,10,9,3,7,5,73,507,608,382,270,235,99,105,143,31,2392
POA3682,3,4,0,4,0,0,0,0,0,17,5,5,3,4,5,0,0,0,0,23,30,0,34,7,9,3,10,13,0,101,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,62,30,40,24,21,15,11,24,0,230
POA3683,12,10,4,5,6,10,0,0,0,35,11,15,5,17,9,3,0,0,5,57,24,18,88,28,18,9,33,30,0,241,4,0,0,4,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,3,0,0,0,9,3,0,0,3,6,20,78,118,103,80,61,23,37,44,13,548
POA3685,11,16,3,8,11,0,4,4,0,64,21,23,6,29,7,8,4,7,3,107,44,15,111,48,38,12,33,47,8,362,5,3,0,9,3,5,3,3,0,24,3,0,7,3,4,0,4,5,0,30,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,6,3,28,172,219,143,109,94,33,48,84,17,929
POA3687,3,7,0,0,5,3,0,0,0,15,4,4,0,5,11,0,0,0,0,27,15,4,61,16,5,4,13,26,0,148,0,0,0,4,0,0,0,5,0,6,0,3,0,0,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,37,55,63,30,24,15,22,35,7,290
POA3688,12,4,0,10,0,0,0,5,0,28,12,7,3,10,10,4,0,7,0,55,21,10,79,25,23,13,26,28,0,232,0,0,0,0,3,4,0,0,0,13,3,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,5,4,0,4,19,83,92,89,69,46,29,34,41,7,483
POA3690,90,120,70,109,78,20,25,24,4,542,182,226,125,402,236,107,53,55,19,1401,436,246,1455,806,581,292,394,466,86,4760,19,0,28,40,37,44,21,46,0,238,14,19,15,58,55,26,23,35,6,248,8,12,4,16,7,6,4,7,5,61,11,20,27,36,31,16,32,42,33,237,1257,2581,1812,1791,1266,572,610,757,166,10814
POA3691,66,60,28,37,35,10,5,9,0,250,105,81,47,177,103,31,12,14,13,574,314,80,708,235,219,90,158,141,24,1960,16,0,15,16,26,4,9,8,0,93,27,5,7,27,24,9,7,9,0,113,5,10,0,0,0,0,3,0,0,30,29,20,7,13,9,18,8,6,9,114,842,1202,863,646,530,170,217,218,66,4763
POA3695,4,4,0,0,3,0,0,3,0,11,5,3,0,4,5,0,0,4,0,25,20,8,25,3,3,3,9,10,3,79,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,47,41,25,12,18,8,8,21,0,182
POA3697,0,3,0,0,4,0,0,0,0,15,5,0,0,7,0,0,4,0,0,14,13,3,29,8,5,4,7,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,38,41,38,23,21,6,7,8,4,188
POA3698,8,3,4,0,3,0,0,4,0,29,5,3,8,8,3,6,0,4,0,33,15,6,47,10,9,7,6,7,0,108,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,79,92,66,39,31,19,9,23,6,353
POA3699,8,4,4,7,0,0,0,0,0,22,5,5,3,11,4,4,0,3,0,32,22,5,51,21,9,3,13,20,3,147,5,0,0,0,0,3,0,4,0,16,5,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,3,0,9,79,83,74,75,24,18,15,51,6,424
