POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2075,152,80,41,90,127,115,90,62,35,789,4555,2443,1262,2977,3224,2608,2141,1702,760,21665
POA2076,185,162,58,131,173,126,106,110,136,1187,4818,3306,1672,3283,3834,3014,2375,1852,1188,25340
POA2077,429,223,287,391,276,201,192,133,122,2252,8270,4375,6077,8131,5615,4332,3460,1799,766,42819
POA2079,65,44,32,35,72,46,30,9,6,340,1555,951,834,1148,1193,1088,621,332,94,7816
POA2080,19,10,8,14,19,18,4,6,0,99,373,210,143,238,284,235,163,91,21,1766
POA2081,43,42,15,38,32,31,28,17,4,235,1124,728,390,699,881,762,459,289,59,5394
POA2082,51,42,17,23,38,31,13,19,5,240,1159,669,327,771,929,647,591,294,75,5458
POA2083,13,14,15,18,25,21,22,7,4,139,208,151,140,180,254,340,237,134,21,1665
POA2084,23,42,16,18,41,33,25,13,6,222,661,478,237,368,609,523,438,308,136,3759
POA2085,83,65,33,45,95,57,64,39,28,502,2141,1441,587,1262,1882,1271,1233,1147,484,11452
POA2086,128,92,60,90,139,77,34,37,9,670,3150,1862,1041,1922,2391,1597,1119,872,256,14214
POA2087,114,84,43,79,91,75,57,51,74,682,2803,1743,720,1602,2211,1572,1047,992,470,13161
POA2088,232,188,153,193,232,225,163,155,48,1596,4611,2963,2935,3649,4238,3727,3073,2216,916,28329
POA2089,74,42,118,123,78,83,67,66,65,717,1484,967,2483,2042,1408,1227,1004,619,248,11491
POA2090,97,75,110,124,98,88,81,41,34,745,1976,1098,2233,2211,1850,1589,1481,823,270,13533
POA2092,93,44,32,50,75,66,34,26,3,421,1708,951,434,903,1325,937,590,390,147,7384
POA2093,236,136,125,156,198,167,96,60,43,1228,5037,2615,2322,3366,3913,2774,1849,1131,538,23555
POA2094,73,41,56,74,52,54,24,18,3,404,1059,561,958,977,852,790,527,317,102,6141
POA2095,134,102,225,177,148,118,80,46,17,1043,2184,1325,3549,2809,2051,1853,1310,854,357,16296
POA2096,143,76,144,134,165,111,61,30,12,875,2651,1507,2715,2388,2241,1642,1063,554,197,14955
POA2097,203,128,94,117,185,131,78,48,20,1000,2995,2061,1644,2075,2524,1990,1419,899,385,15991
POA2099,432,282,402,396,368,311,208,151,100,2648,7482,4812,6524,6679,6164,4834,3287,2209,932,42917
POA2100,219,149,131,157,211,133,103,83,66,1252,4415,2698,2191,3038,3517,2589,1782,1144,601,21973
POA2101,226,142,147,163,171,179,128,96,80,1332,3478,2075,2107,2573,2746,2454,1990,1483,974,19885
POA2102,129,56,28,81,73,56,50,51,67,596,1827,964,652,1197,1312,894,681,540,304,8379
POA2103,134,87,82,95,109,89,98,84,60,830,1798,1228,945,1181,1530,1472,1390,914,419,10877
POA2104,24,29,8,17,39,43,32,46,26,258,462,357,184,250,465,537,613,629,305,3807
POA2105,28,15,14,23,23,23,24,24,0,166,272,228,96,168,338,391,310,165,31,2008
POA2106,80,70,62,66,98,123,58,45,10,602,1541,1176,960,984,1453,1624,1148,612,164,9659
POA2107,177,121,72,106,137,137,101,52,24,919,2884,1763,914,1648,2268,2408,2044,1088,408,15422
POA2108,8,13,9,10,20,23,26,17,14,142,173,150,100,121,209,326,365,248,44,1740
POA2110,85,82,56,71,101,71,84,122,261,937,1730,1307,630,1040,1477,1230,1088,740,598,9846
POA2111,126,78,112,124,116,95,76,68,123,917,2606,1602,2245,2316,2198,1808,1385,866,434,15456
POA2112,365,225,380,341,239,256,197,139,168,2312,6582,3958,6779,6451,4495,4176,3006,1676,901,38026
POA2113,238,221,394,258,176,166,108,68,67,1701,4122,3846,6188,4582,2876,2533,1770,1048,664,27637
POA2114,170,129,247,220,117,136,96,54,25,1197,4048,2610,4868,4388,2976,2817,2121,1026,410,25267
POA2115,171,112,164,136,117,91,73,40,28,932,2458,1383,1975,2053,1582,1460,1047,499,231,12686
POA2116,82,50,90,81,65,60,48,20,12,496,1390,882,1039,1066,1011,927,548,303,106,7274
POA2117,286,180,190,202,186,177,113,55,41,1427,4158,2626,2708,3255,3099,2924,1919,1024,471,22185
