POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2766,278,180,212,186,150,158,100,114,188,1567,3471,2205,2357,2450,2004,1853,1437,718,564,17047
POA2767,398,230,268,261,242,182,113,50,15,1754,4687,3101,3285,3559,3044,2731,2014,750,220,23384
POA2768,246,363,611,578,349,164,72,42,14,2438,5971,4173,3235,5248,4435,2984,1899,775,145,28864
POA2769,206,85,76,160,64,37,37,12,8,692,4798,1666,1523,4078,2001,905,786,409,142,16315
POA2770,2225,1145,1172,1046,900,611,419,212,53,7784,14823,8777,8632,7909,7325,6462,4720,2361,493,61494
POA2773,65,49,34,32,51,31,32,11,6,308,1106,746,436,691,908,868,720,378,115,5978
POA2774,167,76,82,105,72,84,65,29,15,687,2687,1482,1358,1825,1715,1561,1495,730,157,13010
POA2775,24,10,15,30,32,41,21,9,3,181,164,112,111,156,274,317,225,133,21,1518
POA2776,52,29,24,25,34,23,17,16,4,215,874,447,412,580,581,558,448,198,53,4156
POA2777,210,90,84,133,125,127,75,96,136,1084,3304,2003,1603,2176,2497,2345,2139,1165,581,17816
POA2778,29,13,13,10,11,17,15,6,0,128,395,284,249,277,362,411,318,104,32,2425
POA2779,59,36,27,44,44,34,27,13,5,281,999,581,516,693,735,658,569,271,59,5077
POA2780,113,102,84,96,128,120,130,78,26,888,1730,1187,1225,1517,1938,2094,2224,1070,354,13348
POA2782,96,57,42,48,76,58,55,38,25,493,1075,537,471,692,821,946,1090,568,229,6428
POA2783,27,21,3,28,19,27,11,5,0,150,436,292,254,336,377,467,323,127,40,2651
POA2784,15,17,9,13,17,13,15,10,0,103,218,136,121,164,201,216,156,73,9,1300
POA2785,75,41,35,41,72,65,63,37,9,425,668,310,376,514,665,882,837,463,111,4822
POA2786,12,3,9,13,18,6,14,10,0,80,153,92,104,121,165,205,207,110,18,1178
POA2787,122,87,93,97,83,68,100,39,7,702,770,429,463,494,574,679,722,371,103,4605
POA2790,286,193,282,232,202,212,198,122,38,1757,2432,1573,1722,1584,1942,2325,2121,1311,438,15452
POA2791,6,0,7,0,4,3,8,3,0,37,52,19,21,24,50,65,49,28,12,322
POA2792,6,0,3,0,0,13,3,3,0,35,53,36,50,30,58,69,40,28,14,386
POA2793,20,13,10,15,20,18,26,20,0,151,149,73,91,87,127,200,223,111,11,1074
POA2794,199,138,129,99,130,114,110,76,31,1029,1839,1166,1102,1012,1259,1404,1437,898,387,10504
POA2795,740,654,760,682,620,486,367,216,90,4607,8448,5924,5817,5278,5642,5562,4701,2637,1061,45077
POA2797,13,0,0,9,10,0,7,8,0,54,95,27,35,59,62,67,55,36,9,434
POA2798,56,24,10,29,46,34,29,12,0,258,488,209,160,262,343,308,281,118,24,2193
POA2799,68,37,25,35,36,47,36,11,12,306,859,480,506,422,480,604,460,249,100,4156
POA2800,930,507,527,505,496,420,359,218,144,4107,10394,5649,6272,6036,5876,5457,4753,2737,1103,48283
POA2803,0,3,0,0,9,5,0,3,0,25,41,21,23,26,40,56,46,38,3,286
POA2804,66,46,32,27,54,47,27,23,18,338,489,297,238,264,359,427,401,272,83,2832
POA2805,6,9,4,3,8,5,7,7,0,52,70,45,31,49,57,56,65,32,11,408
POA2806,39,10,15,20,11,15,20,12,5,143,154,75,80,86,74,146,136,73,34,862
POA2807,18,5,6,8,5,8,12,0,0,68,62,39,36,42,62,85,80,36,0,450
POA2808,7,0,0,3,0,4,18,0,0,31,24,19,14,12,33,45,53,16,0,216
POA2809,3,0,5,0,3,7,4,6,0,19,37,10,24,21,20,45,26,19,6,202
POA2810,44,21,17,30,38,44,38,35,10,288,484,277,246,293,366,484,529,317,128,3132
POA2817,7,4,6,3,6,12,9,5,0,48,70,24,42,45,46,76,50,13,4,359
POA2818,23,5,16,6,12,6,10,10,0,93,184,90,88,91,117,111,98,51,17,849
POA2820,249,198,422,332,219,135,97,49,23,1734,1291,775,1052,855,854,999,850,509,191,7378
POA2821,202,92,89,83,68,87,63,49,31,768,1063,533,525,532,514,616,530,340,120,4778
POA2822,14,8,6,13,10,17,15,0,0,83,84,45,47,43,43,85,67,17,6,433
POA2823,42,20,23,28,18,31,18,15,18,213,261,122,168,138,138,182,175,104,44,1340
POA2824,52,19,22,28,26,38,43,37,29,290,395,198,214,189,230,310,253,182,82,2055
POA2825,28,33,15,28,29,30,24,24,8,223,421,270,287,198,297,273,196,192,69,2202
POA2826,3,6,0,0,3,0,0,6,0,14,27,29,12,18,29,29,20,9,3,178
POA2827,108,50,56,61,66,59,53,56,20,519,701,332,389,362,455,527,468,330,117,3678
POA2828,31,8,6,18,10,32,12,3,0,124,163,66,80,86,100,147,90,39,15,798
POA2829,150,63,62,66,33,41,37,32,5,498,657,331,376,312,334,373,323,193,64,2965
POA2830,1223,664,780,622,605,494,354,252,115,5117,9640,5180,7010,5501,5097,5032,4023,2512,957,44963
POA2831,59,29,33,38,38,52,29,11,5,300,418,164,198,217,241,295,189,88,23,1845
POA2832,188,90,88,92,95,93,76,23,6,762,470,220,294,230,276,316,242,83,15,2149
POA2833,35,19,21,9,30,18,17,7,0,164,123,90,73,61,78,77,84,30,12,634
POA2834,67,36,43,43,63,85,61,55,5,458,287,155,191,180,234,357,315,215,48,1984
POA2835,145,79,92,92,65,77,59,38,4,651,792,435,566,476,404,504,351,193,76,3793
POA2836,47,34,31,19,20,28,23,4,3,207,188,122,126,96,121,107,95,41,5,895
POA2838,8,5,11,7,8,8,6,3,0,53,43,20,30,24,27,29,33,14,0,223
POA2839,28,27,32,9,22,28,13,0,3,171,227,135,177,99,131,168,88,38,17,1079
POA2840,144,66,63,59,69,55,32,26,0,521,527,273,327,275,314,320,212,112,34,2389
POA2842,9,10,0,11,15,15,14,5,0,79,139,72,59,75,87,101,117,55,10,720
POA2843,45,18,29,16,31,30,25,24,6,233,219,129,123,110,152,185,161,132,44,1262
POA2844,27,13,12,8,19,18,18,21,8,153,215,113,127,117,146,200,189,158,49,1312
POA2845,33,21,16,16,21,21,21,5,0,156,433,226,238,226,242,284,241,96,26,2019
POA2846,0,3,0,3,0,6,0,0,0,19,28,22,16,16,38,47,54,18,4,253
POA2847,66,34,29,49,43,30,37,12,3,300,416,228,247,278,285,372,373,191,49,2447
POA2848,51,19,20,20,21,23,18,18,0,200,232,141,100,120,201,258,254,190,48,1540
POA2849,35,19,8,19,30,25,34,11,3,194,238,133,113,157,225,273,286,141,44,1610
POA2850,411,188,233,220,240,256,195,116,53,1913,3896,1944,2363,2269,2506,2534,1969,1223,433,19146
POA2852,80,44,24,54,55,57,39,34,5,396,772,344,389,454,447,509,482,245,78,3734
POA2864,15,10,11,9,14,8,8,6,3,73,163,94,68,100,106,107,108,69,20,824
POA2865,13,12,4,17,14,11,14,6,4,87,178,93,81,117,139,108,145,48,25,927
POA2866,82,28,18,49,37,39,40,25,22,341,649,373,266,358,372,417,362,215,97,3112
POA2867,23,7,6,6,4,11,13,4,0,80,155,56,57,75,57,95,83,52,9,636
POA2868,8,0,0,7,6,4,3,11,3,50,113,58,50,63,63,93,58,59,25,579
POA2869,62,34,17,33,28,53,25,10,9,281,276,134,133,142,196,253,223,114,47,1528
POA2870,257,150,143,159,126,142,80,61,34,1154,2487,1461,1428,1342,1402,1529,1222,828,343,12036
POA2871,186,122,112,99,114,132,104,86,30,993,1777,983,978,961,1031,1163,1067,734,278,8965
POA2873,15,10,13,3,9,16,9,9,10,77,88,42,59,54,71,93,84,45,35,560
POA2874,11,9,6,5,5,7,3,4,0,56,68,27,31,37,46,62,49,35,16,369
POA2875,19,8,15,8,8,17,17,7,4,106,140,72,67,81,88,144,128,53,31,802
POA2876,23,7,7,6,13,14,4,5,0,79,118,48,53,52,75,56,64,27,8,494
POA2877,134,54,52,61,71,58,31,28,14,501,778,353,428,393,407,490,372,240,112,3575
POA2878,11,9,9,16,5,12,3,0,0,68,48,30,35,40,33,39,31,12,6,286
POA2879,13,13,10,7,11,20,30,15,3,119,76,56,60,48,74,101,104,53,10,577
POA2880,432,282,279,272,243,233,178,140,127,2183,3104,1908,2226,1959,2091,2641,2273,1292,599,18097
POA2898,0,0,4,9,0,11,5,10,0,39,66,11,64,69,43,82,56,38,15,445
POA3000,159,1134,1738,691,327,223,107,34,10,4416,1457,12552,17665,5909,2466,1688,956,323,73,43084
POA3002,19,34,66,72,54,40,62,18,5,369,289,368,1144,786,552,663,651,324,119,4896
POA3003,28,110,251,142,75,38,37,3,0,686,589,1325,3248,1377,697,435,245,91,15,8025
POA3004,54,92,370,198,129,118,107,95,86,1247,809,920,3363,2155,1224,1071,1042,659,242,11482
POA3006,113,202,606,313,138,113,81,33,4,1602,1360,3321,9434,4225,1748,1322,868,358,65,22699
POA3008,95,158,621,292,135,132,75,28,6,1550,1208,1813,6036,2891,1397,1204,695,207,42,15495
POA3011,191,202,501,324,211,172,134,97,49,1875,2729,2305,6195,4188,2538,1993,1240,703,390,22278
POA3012,329,221,510,368,275,191,103,63,46,2105,4580,2626,6061,4963,3452,2469,1525,873,479,27023
POA3013,177,88,154,158,128,108,50,36,14,909,2994,1416,2654,2901,2386,1611,870,511,300,15636
POA3015,209,99,165,212,177,106,67,40,27,1097,4017,1672,2472,3486,2860,2053,1180,589,320,18634
POA3016,139,134,100,112,147,136,112,52,26,952,2808,1899,1297,1921,2658,2516,1796,821,303,16025
POA3018,193,75,111,179,143,103,83,57,29,980,2383,1104,1569,2238,2016,1602,1370,887,398,13556
POA3019,140,123,204,144,98,90,64,12,13,895,1508,1254,2222,1416,1098,985,789,287,116,9682
POA3020,704,535,739,581,515,369,265,198,85,3978,7254,5278,8090,6370,5356,4759,3766,2442,1058,44372
POA3021,1098,721,1013,822,629,606,436,345,270,5943,9354,6989,9237,7167,6386,6214,5672,2997,1087,55112
POA3022,68,37,75,54,43,38,23,12,8,365,542,285,605,546,398,276,257,150,107,3170
POA3023,1064,936,1622,1346,946,525,329,171,80,7025,14273,9066,9573,11292,9577,6340,4479,1968,575,67146
POA3024,733,335,437,426,265,147,84,27,14,2476,9180,4089,6238,6714,3404,2295,1421,515,149,34004
POA3025,275,102,199,157,117,76,66,67,33,1098,2624,1153,2047,2077,1508,1035,962,999,561,12962
POA3026,185,67,92,112,68,61,28,9,0,621,2441,1059,1181,1811,1132,678,324,117,16,8770
POA3027,155,87,155,136,49,31,15,7,0,639,2297,1124,1965,2199,969,532,300,52,12,9448
POA3028,401,265,384,319,296,272,171,96,79,2278,4824,3031,4471,4232,3642,3673,2628,1196,496,28191
POA3029,2880,1484,2343,2113,1079,679,386,146,45,11157,33996,15302,24770,25580,12319,9079,5903,2408,541,129888
POA3030,2108,1090,1400,1412,1001,645,437,273,188,8555,28862,13563,18359,22767,14671,9998,6759,3076,1147,119201
POA3031,188,147,293,238,175,121,85,37,26,1294,2564,1905,4272,3275,2199,1622,1181,511,241,17772
POA3032,318,225,447,301,283,234,151,59,21,2045,4585,3483,6047,4968,4028,3220,2208,976,354,29874
POA3033,161,108,116,113,122,95,92,83,28,920,2640,1614,1642,1950,2139,1651,1479,1451,514,15078
POA3034,129,65,108,110,99,87,76,85,24,786,1977,1175,1376,1659,1510,1373,1424,1280,607,12388
POA3036,65,48,44,43,56,45,37,26,14,386,952,722,560,643,817,843,746,476,224,5974
POA3037,766,500,478,513,465,371,194,91,29,3413,10290,7575,6622,7489,7932,5816,3520,1591,569,51402
POA3038,277,228,264,199,246,256,172,55,15,1707,3874,3620,3127,2795,3749,4470,3188,1434,449,26703
POA3039,118,118,151,115,135,145,76,56,16,921,2250,1830,3138,2423,2130,1936,1361,752,415,16224
POA3040,216,262,242,214,248,210,138,66,44,1647,4094,3687,3835,3598,3950,3393,2332,1195,655,26722
POA3041,134,106,83,110,141,89,69,35,21,793,2337,1754,1468,1790,2008,1602,1255,601,304,13111
POA3042,161,113,127,140,143,125,93,80,43,1029,2895,1711,2288,2474,2305,1889,1605,1101,501,16763
POA3043,197,133,220,158,145,141,114,87,32,1238,2995,1864,2572,2460,2199,2027,2061,1357,381,17912
POA3044,279,211,266,304,273,184,118,92,71,1802,5108,3132,4833,4709,3900,2965,1847,1221,987,28701
POA3045,3,9,6,6,8,3,4,0,0,48,10,16,8,8,12,11,4,0,0,64
POA3046,579,377,640,415,358,222,163,128,88,2968,6470,4269,7631,5814,3961,3363,2239,1829,1211,36772
POA3047,558,404,522,443,318,260,135,104,28,2769,4612,3004,3932,2952,2293,2144,1329,889,327,21478
POA3048,473,273,306,264,221,205,102,56,13,1910,3820,2605,2718,2265,2180,2133,1385,757,213,18081
POA3049,151,109,103,94,121,86,63,27,16,771,1653,1208,1329,1265,1330,1368,1004,488,159,9812
POA3051,228,269,400,244,145,129,82,25,8,1531,1733,2767,4283,2355,1472,1105,779,333,126,14953
POA3052,42,191,121,69,45,40,24,16,10,562,487,2765,1696,760,446,400,342,245,155,7297
POA3053,79,307,392,145,91,57,45,39,24,1197,859,4907,5417,1736,963,809,684,447,217,16034
POA3054,64,57,121,71,64,46,43,25,15,500,896,1104,2148,1112,858,809,732,391,141,8186
POA3055,102,94,209,171,93,67,50,43,12,847,1882,1761,3734,2507,1748,1332,927,580,289,14746
POA3056,124,164,406,221,164,121,89,57,27,1367,2553,2995,7280,4432,2788,2086,1426,922,440,24912
POA3057,75,75,270,151,108,68,35,24,11,821,1252,1434,4445,2654,1399,932,597,372,173,13262
POA3058,319,231,413,300,315,232,123,114,111,2159,5528,3830,6388,5860,4852,3473,2376,1624,963,34906
POA3059,316,180,195,208,177,164,92,33,4,1364,4519,2897,3128,3056,2857,2574,1545,568,120,21274
POA3060,294,164,205,198,123,90,78,84,70,1301,3027,1728,2371,2136,1501,1260,911,805,534,14274
POA3061,131,68,74,74,53,52,45,30,5,547,996,590,693,626,594,520,479,365,113,4977
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
POA3063,7,9,8,0,10,11,4,4,0,57,82,97,40,53,102,92,55,32,7,563
POA3064,2288,1156,1521,1403,922,638,312,128,76,8436,29534,15210,21003,19925,12262,9204,4897,1849,539,114413
POA3065,158,121,271,182,143,121,83,34,12,1119,1067,994,3072,1841,1197,1108,697,324,135,10431
POA3066,138,97,233,139,104,59,32,15,0,829,898,847,3348,1752,1030,661,394,189,67,9179
POA3067,51,61,245,147,73,60,45,16,10,709,733,859,3278,1785,888,692,508,249,97,9096
POA3068,149,121,282,170,154,120,116,62,36,1217,2616,1796,4582,3099,2373,1946,1658,922,385,19382
POA3070,226,160,295,259,236,158,96,63,33,1529,3787,2521,5164,4021,3830,2629,1682,1111,528,25276
POA3071,161,123,216,168,160,96,59,50,22,1055,2806,1860,3851,3370,2685,1856,1233,852,495,19005
POA3072,324,222,399,347,302,200,164,101,83,2157,5058,3444,6682,5931,4742,3410,2294,1484,740,33790
POA3073,600,433,685,533,531,395,323,260,271,4030,7958,5233,9460,8024,6424,5178,4003,3075,1753,51096
POA3074,234,175,236,206,176,175,142,82,29,1452,3153,2330,3221,2679,2222,2219,2269,1599,543,20234
POA3075,410,236,306,247,255,167,131,98,39,1895,4265,2757,3495,3361,2759,2308,2122,1534,630,23219
POA3076,574,314,419,391,294,264,191,289,282,3029,6970,4042,5240,5404,4067,3570,2465,1172,567,33489
POA3078,103,90,149,116,106,102,53,17,3,750,1882,1347,2149,1921,1741,1519,987,477,215,12237
POA3079,135,115,135,147,142,133,90,43,25,970,2603,2117,2216,2315,2371,2293,1757,906,464,17055
POA3081,227,140,231,160,153,98,71,28,11,1123,2356,1610,2890,2120,1601,1625,1068,487,245,14003
POA3082,314,284,268,239,284,270,150,78,20,1913,4439,3647,4165,3668,3752,4461,2946,1212,417,28712
POA3083,293,439,368,249,284,199,164,97,59,2146,4482,4936,5214,3901,4030,3456,2736,1963,812,31529
POA3084,226,160,159,189,182,184,159,107,61,1417,4936,2902,3020,3867,3732,3180,2586,1864,952,27045
POA3085,106,103,97,106,83,66,60,25,17,670,2587,1671,1775,2036,1999,1468,1295,768,453,14050
POA3087,81,55,66,81,55,57,42,37,9,482,1690,904,1292,1399,1194,1012,884,580,201,9156
POA3088,244,159,147,179,182,165,150,118,77,1424,5047,2796,2908,4050,3715,3266,3038,1693,670,27181
POA3089,108,89,55,89,116,92,65,29,13,657,2426,1781,1401,1618,1910,1729,1069,445,125,12503
POA3090,19,23,7,10,31,35,13,11,4,164,429,426,180,264,464,380,209,117,107,2575
POA3091,18,14,8,8,13,23,19,6,4,119,234,268,114,141,281,271,174,99,21,1602
POA3093,42,25,21,39,30,34,24,15,8,238,659,431,378,483,584,513,466,303,150,3962
POA3094,109,52,49,58,70,62,55,43,16,507,1852,865,921,1399,1297,1118,1078,570,148,9250
POA3095,316,212,110,175,257,245,178,105,48,1640,5373,3596,2281,3491,4433,4172,3297,1356,366,28373
POA3096,27,11,13,19,13,15,6,3,3,109,324,280,221,195,270,296,166,108,57,1911
POA3097,17,29,8,17,20,16,10,5,0,117,256,232,115,161,249,240,183,80,13,1536
POA3099,62,31,18,44,41,52,37,17,3,306,935,616,444,574,735,800,602,247,46,4993
POA3101,198,199,166,144,197,193,122,98,56,1378,3705,3463,3169,2829,3436,3154,2468,1491,786,24499
POA3102,54,40,37,34,48,39,24,24,0,307,1192,916,664,817,978,891,618,383,163,6620
POA3103,106,108,74,89,105,91,81,58,53,756,2487,2158,1535,1915,2175,1944,1649,1132,624,15621
POA3104,161,155,91,74,184,124,83,53,30,955,3794,3354,1834,2292,3385,2912,1909,1209,622,21302
POA3105,71,59,68,61,70,85,57,49,30,552,1604,1279,1235,1332,1533,1449,1104,1077,512,11124
POA3106,140,99,82,110,106,129,128,96,87,972,2618,1939,1571,2010,2112,2459,2113,1447,696,16966
POA3107,110,80,67,87,102,71,62,77,47,700,2375,1521,1358,1801,2048,1622,1397,1424,613,14164
POA3108,186,134,184,179,195,138,127,108,63,1326,3491,2857,3891,3495,2941,2862,2446,2074,993,25054
POA3109,203,170,147,198,182,163,151,135,57,1397,5585,3333,3366,4587,3857,3713,3120,2382,989,30926
POA3111,121,81,56,86,93,82,68,70,49,702,2084,1532,1059,1526,1816,1648,1357,1040,584,12644
POA3113,99,80,29,51,97,63,55,19,4,500,1573,1281,572,922,1546,1278,899,407,79,8562
POA3114,43,39,11,21,49,25,16,16,9,220,673,674,212,332,708,586,381,210,62,3835
POA3115,39,33,25,22,32,48,28,12,3,239,628,608,278,363,634,671,438,176,43,3843
POA3116,182,99,83,89,107,78,58,52,6,743,2301,1421,1536,1629,1502,1362,1174,691,165,11779
POA3121,177,238,679,357,253,261,141,68,37,2212,3027,3330,10056,5200,3581,2896,1998,1036,411,31534
POA3122,134,208,310,191,163,136,112,68,34,1364,2748,3507,4984,3183,2598,2111,1741,1050,409,22322
POA3123,99,113,150,111,101,87,71,54,26,802,2202,1942,2922,2121,1886,1517,1183,745,319,14834
POA3124,191,154,116,153,161,129,107,73,67,1155,3470,3096,2349,2488,3045,2757,2264,1492,1008,21965
POA3125,121,251,249,113,99,90,68,36,33,1058,2016,3012,2765,1802,1713,1398,1060,838,545,15147
POA3126,61,61,46,31,48,41,47,26,23,386,1232,1152,603,795,1095,1083,923,570,323,7773
POA3127,148,123,101,101,133,141,97,49,27,923,2977,2648,1950,2210,2814,2452,2076,994,494,18608
POA3128,162,314,401,201,176,138,121,87,113,1710,2825,3758,4879,3067,2762,2197,1665,1019,673,22841
POA3129,179,131,130,122,126,115,62,38,22,926,3056,2359,2479,2481,2520,2115,1580,913,435,17946
POA3130,255,224,199,182,227,179,139,108,115,1628,5712,4169,3737,4592,4743,3897,2867,2079,1241,33044
POA3131,219,139,171,202,186,142,136,121,92,1409,3927,2542,3038,3478,3115,2491,2085,1625,895,23191
POA3132,121,86,107,99,106,84,55,46,24,729,2975,1858,2374,2675,2308,1876,1484,909,326,16795
POA3133,151,145,80,126,118,101,138,120,151,1138,4027,2802,2031,3069,3171,2602,2617,1864,758,22951
POA3134,325,227,227,274,249,202,140,98,59,1808,6089,4173,4504,5004,4788,4082,3141,1964,863,34607
POA3135,228,126,121,173,155,141,98,69,36,1149,3990,2283,2545,3153,2906,2329,1856,1160,476,20698
POA3136,471,323,374,337,340,311,235,179,116,2680,8486,4976,6097,6632,5903,5477,4606,2886,1221,46296
POA3137,162,106,124,106,94,116,60,31,26,819,2636,1697,2071,1974,1783,1799,1343,920,346,14558
POA3138,291,214,204,187,162,157,113,60,32,1420,4568,2794,3358,3351,2897,2520,2074,1141,346,23059
POA3139,197,145,100,130,166,129,83,37,9,1005,2771,1751,1888,1701,1973,1945,1416,650,158,14257
POA3140,198,129,146,124,150,158,91,72,21,1100,2975,2140,2302,2132,2405,2194,1708,1068,425,17348
POA3141,177,263,700,366,240,186,141,81,25,2186,1761,2934,8542,4185,2443,2095,1692,1024,360,25028
POA3142,107,129,137,96,129,127,132,105,70,1034,1396,1498,1870,1361,1530,1678,1746,1226,514,12817
POA3143,67,79,87,75,87,47,51,53,25,570,1192,1004,1938,1388,1186,901,905,647,218,9376
POA3144,95,58,70,78,78,74,43,64,45,604,1616,1333,1304,1232,1485,1311,1142,913,419,10763
POA3145,217,182,227,159,141,149,117,76,66,1333,3707,3470,3558,2974,3235,2668,2088,1221,680,23594
POA3146,192,182,179,150,202,151,115,80,34,1290,4518,3621,3208,3406,3891,3207,2323,1407,548,26131
POA3147,153,83,124,96,111,102,81,50,27,816,2782,1863,1756,2053,2205,1825,1299,835,489,15102
POA3148,90,64,174,90,77,55,50,27,11,640,1505,1120,2094,1561,1106,880,660,439,181,9552
POA3149,261,275,258,204,269,211,122,119,85,1796,5992,4724,4286,4812,4847,4094,2997,2397,1186,35340
POA3150,448,431,389,417,388,350,339,317,278,3358,10097,8168,6723,8253,8285,7282,6710,5209,2567,63298
POA3151,47,65,70,52,67,44,49,45,12,450,1461,1341,1592,1360,1367,1183,1015,996,372,10675
POA3152,287,222,199,195,181,208,172,138,85,1690,5908,4030,3958,4851,4337,4440,4136,2140,1139,34940
POA3153,259,137,198,218,178,149,86,86,123,1436,3693,2176,3345,3414,2614,2374,1903,1139,612,21276
POA3154,54,46,40,27,45,41,26,16,11,313,869,499,525,599,658,574,435,225,115,4500
POA3155,319,178,246,218,211,155,157,62,28,1575,4033,2405,3750,3608,2978,2649,2356,1365,517,23660
POA3156,407,308,312,292,336,306,187,131,65,2347,6701,4726,4772,5309,5521,5126,3675,1980,670,38484
POA3158,73,51,54,58,56,63,41,11,3,411,1317,779,744,962,1044,971,721,222,56,6818
POA3159,43,37,20,26,40,19,8,9,0,204,503,329,225,380,415,357,262,106,20,2593
POA3160,92,84,72,68,68,74,59,10,3,529,1674,1075,974,1359,1371,1238,926,343,73,9024
POA3161,138,126,200,146,100,80,132,69,85,1080,2660,2158,3062,2235,1882,1650,1799,878,580,16903
POA3162,142,101,168,127,146,96,106,76,25,1000,3127,1999,2236,2429,2439,2030,2078,1079,649,18075
POA3163,220,199,368,254,221,156,150,131,110,1809,4731,3733,6918,5306,3949,3342,2593,1529,718,32810
POA3165,296,197,141,226,235,195,140,72,46,1544,6154,3493,3090,4691,4718,3373,2387,1422,830,30159
POA3166,233,226,262,204,200,142,93,63,26,1448,3821,3235,4401,3572,3379,2643,1773,1230,699,24753
POA3167,101,56,92,96,64,54,51,40,15,567,1632,1011,1471,1435,1235,1197,981,616,271,9851
POA3168,157,500,656,219,125,99,79,101,135,2079,1931,5961,6618,2511,1454,1226,927,732,525,21880
POA3169,157,188,248,166,161,134,125,92,38,1311,2989,2520,3982,2888,2344,2165,2020,1339,575,20820
POA3170,179,138,148,139,153,115,100,90,38,1097,3516,2190,2704,2894,2599,2073,1965,1420,519,19889
POA3171,268,217,373,186,196,176,99,75,40,1626,3214,2953,4535,2990,2524,2332,1821,1197,614,22174
POA3172,248,154,168,192,162,180,139,91,47,1384,3937,2955,2795,3069,3098,3004,2424,1422,552,23261
POA3173,344,185,239,257,188,178,119,74,30,1614,5896,3865,4260,4723,3843,3188,2507,1276,456,30018
POA3174,537,357,578,422,341,333,224,157,54,3007,6521,4953,7405,5684,4524,4194,3401,2145,868,39693
POA3175,995,609,993,831,601,500,405,242,121,5289,9682,6464,9625,7909,6032,5326,4447,2828,1233,53545
POA3177,259,148,250,182,137,108,85,66,32,1284,2327,1437,2272,1790,1287,1156,889,522,200,11889
POA3178,261,232,200,179,244,258,141,83,32,1635,5623,4575,3783,4175,5010,5126,3073,1661,554,33571
POA3179,65,43,36,56,53,28,25,21,8,323,1051,833,693,913,885,746,603,272,64,6066
POA3180,51,49,44,48,46,55,31,44,13,382,1276,919,934,1125,992,900,806,563,129,7645
POA3181,97,156,391,235,158,143,122,165,226,1703,1526,2038,6275,3405,2090,1634,1217,909,555,19636
POA3182,132,168,575,411,331,296,154,83,20,2167,1672,1864,6460,4273,3063,2619,1624,679,184,22438
POA3183,212,160,340,254,164,104,78,44,21,1375,2756,1924,4506,3155,2145,1565,1159,535,225,17964
POA3184,159,85,263,266,193,136,75,43,23,1246,1979,1244,3301,2841,2401,1779,1042,425,147,15153
POA3185,131,94,127,119,86,73,60,37,27,755,2289,1485,2322,1984,1827,1464,1158,606,288,13433
POA3186,202,175,88,133,217,214,173,124,62,1391,3619,2719,1845,2442,3506,3338,2878,1957,958,23252
POA3187,196,116,67,109,154,90,83,77,75,981,3167,2063,1139,1916,2653,2123,1617,1221,854,16757
POA3188,211,139,121,143,180,172,124,76,27,1192,3268,2323,1663,2338,3035,2686,1811,1071,394,18587
POA3189,65,34,58,68,61,44,33,29,15,416,1169,611,832,1061,876,695,530,358,161,6287
POA3190,145,84,95,113,120,66,46,33,32,734,2212,1189,1602,1884,1855,1323,1043,603,291,12007
POA3191,103,58,60,81,119,96,79,45,64,715,1731,1213,832,1297,1748,1580,1262,764,488,10926
POA3192,271,152,201,188,202,136,127,116,57,1440,4348,2463,3028,3776,3402,2623,2063,1477,954,24129
POA3193,198,136,67,98,192,167,131,82,44,1109,3456,2547,1135,1937,3352,3044,2581,1513,631,20207
POA3194,102,67,99,103,112,83,73,55,49,728,2075,1330,1710,1902,2010,1599,1299,889,403,13221
POA3195,368,249,214,259,338,265,168,115,59,2036,6975,4619,3595,5080,6126,4844,3344,1920,863,37364
POA3196,312,166,247,267,246,231,168,114,51,1809,4839,2385,3520,4212,3779,3231,2590,1596,718,26876
POA3197,126,82,90,92,98,92,71,55,19,730,1993,1193,1299,1558,1846,1736,1430,721,252,12032
POA3198,278,137,197,236,245,164,100,79,38,1473,3032,1589,2352,2682,2445,2036,1682,1016,385,17215
POA3199,874,549,708,636,626,522,359,240,144,4658,9767,6261,7461,7548,7493,6781,5745,3516,1559,56127
POA3200,162,110,121,94,97,87,40,36,16,758,1016,629,963,711,671,700,473,349,194,5711
POA3201,374,189,247,211,213,162,114,69,66,1638,4218,2481,3684,3199,2883,2557,1703,835,423,21976
POA3202,27,14,15,16,21,14,36,21,11,182,576,344,271,382,528,317,246,120,43,2826
POA3204,299,251,243,238,271,203,137,77,43,1758,6064,4354,4204,4746,5219,3868,2601,1412,665,33130
POA3205,99,75,167,133,138,106,64,61,53,890,1339,1013,2507,1999,1653,1323,903,531,278,11548
POA3206,93,50,53,82,90,94,59,43,19,585,1690,899,899,1355,1656,1426,1093,782,231,10043
POA3207,168,135,265,267,247,208,139,77,18,1519,2428,1377,2713,3128,2905,2242,1671,924,240,17633
POA3211,35,35,12,18,34,35,8,0,0,170,265,191,97,167,218,220,137,52,16,1353
