POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA2220,40,308,55,41,12,674,511,78,978,369,268,77,2290,25,0,45,23,23,3,120,48,5,88,55,92,13,305,141,11,232,102,71,108,661,2905,315,5016,1918,1447,463,12062
POA2221,33,281,56,40,11,549,185,35,412,118,105,23,878,7,0,30,14,21,0,73,24,0,42,26,95,8,201,36,0,79,39,47,27,223,859,159,2528,934,1144,182,5801
POA2222,35,188,44,34,4,450,149,41,361,128,122,23,824,7,0,21,6,16,0,54,16,3,26,21,67,7,143,35,0,61,33,35,20,187,872,148,1887,732,848,138,4628
POA2223,87,432,89,70,9,975,260,62,556,169,161,35,1242,12,0,47,19,26,3,108,24,11,77,45,132,0,282,35,9,125,49,69,33,326,1462,356,3415,1208,1622,221,8287
POA2224,40,219,68,40,13,463,122,29,267,135,114,33,698,6,3,15,25,11,3,57,8,0,29,30,136,0,206,20,6,64,35,50,22,195,565,157,1622,891,1350,180,4759
POA2225,35,125,23,22,3,279,53,18,106,30,46,8,259,3,0,12,9,7,0,35,6,0,11,9,33,0,64,3,0,26,9,32,13,81,292,119,765,375,565,49,2173
POA2226,38,318,80,76,13,654,110,62,255,120,114,13,681,3,5,31,13,14,0,65,19,7,33,27,86,3,168,13,4,47,19,34,8,134,705,227,1877,886,1318,113,5134
POA2227,46,293,81,76,5,637,134,48,323,154,132,24,820,13,3,34,14,31,5,102,8,6,38,43,117,3,223,31,5,62,27,70,18,199,650,237,2000,1126,1852,164,6037
POA2228,65,354,87,89,11,771,181,68,495,212,218,48,1212,7,0,38,14,31,3,93,14,9,50,52,168,5,294,31,0,99,39,100,27,296,839,274,2634,1356,2263,223,7597
POA2229,95,639,146,129,34,1278,238,94,656,255,245,46,1539,19,0,62,28,64,5,183,19,10,52,84,264,3,429,43,9,120,85,144,40,438,1182,405,3879,2097,3601,364,11520
POA2230,129,667,171,151,24,1431,269,73,722,315,258,54,1682,19,12,95,40,61,11,230,26,8,88,87,243,11,457,35,10,149,91,145,33,464,1349,486,4520,2323,3760,374,12809
POA2231,10,35,15,16,0,82,6,6,23,25,24,6,95,0,0,3,5,13,0,18,4,0,9,4,35,0,43,0,0,5,3,35,8,45,32,23,144,187,425,34,849
POA2232,141,748,193,205,19,1703,328,150,871,357,341,58,2104,16,6,74,37,62,7,201,25,12,105,97,302,10,552,44,7,145,82,148,46,471,1767,596,4862,2470,4230,345,14276
POA2233,156,665,185,207,18,1527,193,108,591,345,394,54,1691,12,5,39,29,51,5,144,13,10,60,74,326,12,499,29,6,65,57,163,20,339,965,463,3055,2147,4287,280,11202
POA2234,147,743,217,198,35,1677,234,91,623,272,303,42,1564,16,4,45,40,52,3,159,23,7,70,76,315,8,491,28,9,98,74,144,38,382,1205,452,3778,2144,3835,341,11747
POA2250,216,970,316,339,33,2306,641,301,2003,888,1331,146,5320,24,8,118,72,99,7,328,42,14,124,157,598,22,964,74,8,188,129,307,102,810,2271,862,6765,4135,8705,715,23453
POA2251,106,676,170,208,18,1406,247,150,877,418,541,70,2296,10,4,60,26,54,4,157,18,9,61,74,259,17,431,26,3,103,53,137,35,357,889,410,3328,1936,4047,301,10913
POA2256,40,152,58,60,0,405,76,37,247,173,307,23,853,6,4,15,17,24,0,62,9,3,22,40,104,6,180,8,4,37,27,68,17,165,409,167,1134,770,1750,150,4381
POA2257,77,353,108,145,20,861,137,84,464,310,540,57,1591,6,3,38,23,42,3,118,13,3,42,52,192,4,309,16,3,82,40,146,46,331,659,309,2176,1479,3622,320,8566
POA2258,26,93,27,25,0,210,48,17,146,53,118,9,401,4,0,6,10,12,0,33,0,3,17,12,63,5,102,3,0,23,16,34,4,79,148,81,533,318,784,55,1922
POA2259,120,709,256,361,25,1694,243,180,1148,823,1549,118,4066,12,4,33,29,97,17,194,17,10,80,119,685,17,923,19,0,91,111,356,82,660,887,476,3662,3342,9546,610,18530
POA2260,90,663,125,114,20,1211,334,113,866,307,315,44,1986,9,5,39,30,39,0,125,17,7,58,55,175,7,317,19,3,93,45,98,32,304,1001,368,3199,1676,2779,256,9277
POA2261,159,951,216,318,32,1923,227,155,979,689,1163,110,3323,4,7,41,31,70,3,165,11,9,67,98,511,13,705,24,5,94,92,276,77,561,814,498,3734,2843,7679,553,16130
POA2262,37,199,84,133,5,498,38,41,254,255,594,53,1227,0,0,11,8,38,0,60,3,5,16,34,203,5,259,3,0,12,19,122,33,196,155,123,816,886,3190,202,5368
POA2263,53,249,81,120,4,586,55,57,308,250,636,45,1352,0,3,13,12,28,0,52,10,0,21,32,162,8,231,3,3,23,25,119,32,203,231,164,1003,949,3279,223,5850
POA2264,35,171,49,80,12,442,60,37,265,204,399,28,992,4,0,9,11,22,0,47,12,6,30,31,164,4,241,4,0,22,16,99,29,166,275,131,819,722,2288,137,4378
POA2265,19,157,39,48,5,354,61,30,179,99,150,22,535,0,0,8,3,8,0,24,5,3,32,18,76,5,135,12,0,13,13,32,12,75,215,71,587,380,1034,67,2348
POA2267,14,46,14,34,0,117,19,14,48,33,48,7,162,0,0,0,4,0,0,9,0,0,3,7,18,0,29,4,0,0,7,16,0,30,60,37,178,148,372,23,811
POA2278,5,25,13,25,3,80,10,10,28,32,76,5,156,0,0,0,0,7,0,4,0,0,0,8,45,0,50,0,0,0,3,21,4,25,22,16,111,126,564,26,869
POA2280,81,490,129,174,18,1063,172,114,637,340,578,48,1885,3,0,20,14,37,0,72,13,0,36,49,278,9,385,0,0,44,40,126,34,252,600,306,2239,1428,3916,216,8712
POA2281,43,270,76,102,5,572,67,35,247,155,309,27,842,0,0,8,5,15,0,35,4,4,21,30,117,0,168,0,0,12,22,94,24,164,250,140,1033,754,2078,151,4414
POA2282,63,370,92,97,12,772,168,68,506,214,284,41,1281,6,3,11,8,19,0,40,7,3,31,29,133,3,207,10,0,38,27,63,7,150,541,254,1753,967,1990,128,5634
POA2283,52,328,121,153,8,783,114,61,427,293,506,58,1458,8,0,25,6,36,0,75,6,3,27,31,227,4,304,14,0,33,28,140,31,241,446,211,1586,1231,3357,233,7071
POA2284,25,210,58,58,3,418,94,33,275,182,319,17,911,3,0,8,8,13,0,36,3,0,17,22,133,6,184,3,0,24,12,69,20,131,244,107,944,671,1877,118,3954
POA2285,73,530,165,236,18,1220,233,138,926,512,922,83,2818,6,0,27,17,35,4,85,16,6,44,86,386,7,546,16,7,53,34,182,45,340,787,360,2807,1870,5546,324,11703
POA2286,8,39,16,27,4,107,17,22,76,78,152,7,344,0,0,0,0,10,0,14,3,0,7,10,69,0,89,3,0,3,0,28,10,44,51,41,226,228,893,55,1499
POA2287,100,646,174,231,29,1554,405,163,1322,512,916,92,3409,6,6,34,20,55,4,116,29,9,83,73,387,10,592,40,6,84,54,190,70,447,1394,460,3943,2085,5467,373,13718
POA2289,97,539,100,107,10,1096,265,92,771,270,326,33,1771,5,0,28,17,35,0,86,5,9,44,56,155,11,278,14,6,51,25,60,31,183,912,371,2878,1211,2361,175,7918
POA2290,112,707,188,223,18,1517,356,134,1110,492,756,67,2917,4,3,39,25,67,10,142,15,6,63,76,308,11,472,12,8,79,51,148,40,350,1095,454,3789,1958,4770,326,12388
POA2291,63,391,78,59,12,765,328,84,748,149,142,34,1487,8,0,38,15,23,0,91,8,3,30,24,69,4,144,24,3,60,17,48,13,164,932,288,2586,802,1305,150,6065
POA2292,13,80,12,17,0,142,26,13,103,39,55,4,241,0,3,3,6,7,0,20,6,0,9,12,19,0,41,0,0,6,3,6,0,20,97,47,374,160,356,17,1053
POA2293,7,97,14,16,0,183,65,23,156,58,65,3,373,4,4,12,3,0,0,19,3,0,15,11,24,0,51,0,0,8,8,17,6,46,207,67,629,242,396,29,1573
POA2294,6,43,8,7,0,82,31,5,79,40,30,3,188,0,0,3,0,0,0,15,0,0,0,6,14,0,25,4,0,8,5,13,6,32,108,24,335,131,237,24,856
POA2295,28,135,42,36,4,309,54,30,152,92,130,11,480,5,0,8,3,17,0,34,7,3,16,11,53,4,84,5,0,9,10,25,6,59,226,101,635,433,982,68,2444
POA2296,10,63,12,14,0,133,26,18,108,34,36,3,223,0,0,9,4,3,0,18,0,0,9,7,22,0,40,0,0,5,4,10,3,23,137,50,388,129,241,24,974
POA2297,20,56,12,16,0,121,38,17,80,23,31,4,179,3,3,5,3,4,0,12,0,0,4,3,22,0,37,5,0,8,0,3,0,16,114,55,331,84,207,22,807
POA2298,26,247,34,59,4,488,127,55,386,131,218,20,933,0,0,17,4,12,0,37,7,5,18,24,72,0,129,9,0,22,12,41,15,108,403,135,1305,485,1223,97,3652
POA2299,40,231,47,67,3,551,152,55,415,134,227,23,1000,0,0,8,12,10,0,35,6,5,37,15,87,3,153,13,4,30,19,54,18,136,528,162,1359,554,1290,102,3997
POA2300,44,304,43,45,10,709,339,78,664,128,138,27,1382,10,3,36,9,14,0,68,17,10,24,25,67,0,139,25,0,68,17,39,13,162,1043,282,2408,663,1122,108,5624
POA2302,10,27,6,4,0,56,15,4,51,6,22,5,108,0,0,5,0,0,0,8,5,0,4,0,4,0,15,0,0,3,0,12,0,14,76,28,253,83,142,17,595
