POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA2774,84,393,75,85,7,925,163,69,301,133,156,24,851,6,3,22,12,26,4,62,20,5,24,26,81,0,164,3,0,28,32,44,13,131,720,271,1570,783,1460,99,4902
POA2775,5,18,4,7,0,41,5,3,19,7,14,3,50,6,0,0,0,4,0,11,0,0,3,0,25,0,28,0,0,3,4,11,9,25,32,12,76,74,215,30,450
POA2776,27,130,30,28,0,306,54,23,94,46,56,4,285,0,0,7,5,8,0,22,4,0,18,10,39,4,80,0,0,10,5,18,8,35,240,85,459,251,486,30,1559
POA2777,125,524,131,145,11,1261,186,94,422,202,258,22,1176,4,3,30,13,34,0,83,20,5,38,34,168,3,266,17,9,38,25,70,21,171,817,331,1896,1093,2242,158,6531
POA2778,20,78,15,22,0,176,37,15,80,38,46,0,214,0,0,3,0,0,0,12,7,0,7,7,19,0,33,0,0,10,11,10,4,29,131,55,291,145,315,16,965
POA2779,29,140,48,51,4,357,49,23,139,58,90,8,366,7,4,12,3,14,0,32,4,0,14,10,30,3,66,0,0,12,11,26,7,55,227,95,540,308,649,40,1858
POA2780,68,233,66,46,7,678,146,62,333,130,181,14,873,33,12,55,29,32,4,161,17,4,30,24,62,3,136,14,4,34,22,37,17,128,776,250,1414,705,1137,108,4387
POA2782,30,129,22,27,4,349,67,33,145,72,65,9,386,13,3,19,3,12,3,65,4,0,17,13,36,0,79,3,4,16,9,20,14,62,349,123,656,302,564,59,2054
POA2783,20,74,16,21,3,180,24,9,69,40,42,0,187,0,3,7,7,4,0,15,0,0,15,6,13,0,36,0,0,7,0,12,0,32,134,52,291,141,314,20,959
POA2784,14,24,12,12,0,78,10,15,25,20,22,3,100,4,0,3,3,0,4,13,0,0,3,5,11,0,25,0,0,3,7,7,4,24,59,38,127,98,170,11,514
POA2785,26,80,20,20,4,245,70,13,114,48,48,8,296,13,6,24,10,11,0,71,5,0,6,9,28,0,51,0,0,13,10,16,3,47,296,77,543,249,406,39,1606
POA2786,3,21,6,6,0,55,7,0,15,10,12,0,50,6,0,11,0,6,0,18,0,0,0,3,3,0,12,6,0,3,5,3,0,18,60,16,129,59,114,9,376
POA2787,7,43,11,21,0,107,14,4,43,22,52,8,144,0,0,5,8,12,0,18,0,4,0,4,32,0,37,0,0,3,5,35,22,70,71,25,225,151,671,83,1221
POA2790,35,141,53,91,4,384,44,43,186,115,228,22,633,4,0,18,9,31,6,67,3,0,21,18,127,7,173,0,0,9,21,72,22,129,213,128,743,619,2190,176,4071
POA2791,0,0,3,0,0,8,0,0,7,3,8,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,16,21,44,5,102
POA2792,0,0,3,0,0,5,0,0,0,5,4,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,10,3,28,21,61,8,129
POA2793,0,11,3,3,0,19,0,0,9,14,12,0,36,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,7,0,11,6,3,48,44,112,16,230
POA2794,29,147,41,69,7,327,11,24,113,115,219,33,510,0,0,5,0,6,4,17,0,0,11,12,91,6,119,4,0,5,4,52,25,84,82,77,465,388,1410,175,2602
POA2795,193,919,231,357,24,2069,282,167,905,489,856,74,2776,15,5,57,22,64,4,172,15,6,66,81,416,8,593,24,6,60,45,202,74,406,1072,575,3704,2088,6539,426,14409
POA2797,0,4,0,3,0,3,0,0,7,3,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,15,24,69,3,115
POA2798,12,42,11,15,0,101,14,6,57,17,27,4,132,0,0,0,0,0,0,0,0,0,0,0,23,0,29,0,0,3,0,6,0,22,73,49,251,125,288,24,801
POA2799,18,58,19,35,0,150,10,8,50,43,85,8,212,3,0,0,0,9,0,17,0,0,4,6,44,0,57,0,0,5,4,22,5,36,49,36,208,161,722,44,1220
POA2800,164,882,245,323,33,1933,544,218,1379,639,1032,83,3893,3,3,35,20,39,0,103,28,11,91,96,484,14,717,17,7,62,39,192,80,394,1468,624,4530,2463,6693,460,16236
POA2803,0,3,0,0,0,7,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,20,16,38,6,84
POA2804,5,55,7,14,4,89,8,4,49,33,49,0,138,0,0,0,0,0,0,0,0,0,4,10,22,0,36,6,0,4,0,11,3,25,29,19,201,120,364,33,769
POA2805,0,5,0,0,0,3,0,0,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,18,23,48,6,102
POA2806,0,5,6,3,0,23,7,3,8,9,15,0,38,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,5,0,4,12,6,32,37,125,11,223
POA2807,0,0,5,0,0,3,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,14,27,47,6,92
POA2808,0,5,0,0,0,5,0,0,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,9,19,0,46
POA2809,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,28,0,60
POA2810,11,45,16,13,3,93,9,9,23,32,39,9,110,0,0,0,0,8,0,7,0,0,0,5,27,0,27,0,0,0,4,13,4,20,32,29,177,129,389,36,790
POA2817,0,11,0,3,0,11,0,0,6,4,3,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,3,5,4,41,16,54,4,119
POA2818,0,19,4,14,0,42,0,0,8,15,16,4,47,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,7,0,4,6,11,47,53,158,11,288
POA2820,18,87,20,60,3,202,16,13,58,59,93,11,247,0,0,0,6,9,0,15,3,0,3,9,43,3,59,0,3,9,6,35,12,57,58,59,313,225,776,73,1507
POA2821,8,83,18,46,5,166,9,7,66,45,65,12,205,0,0,0,0,11,0,15,0,0,9,0,55,0,65,0,0,11,7,28,4,42,28,26,294,167,655,48,1219
POA2822,0,4,0,0,0,7,3,0,12,10,11,0,30,0,0,0,0,3,0,3,0,0,0,0,6,0,4,0,0,0,0,0,3,3,3,0,29,15,64,9,119
POA2823,5,14,3,10,0,35,0,0,15,4,9,0,28,0,0,0,0,0,0,0,0,0,0,0,12,0,15,0,0,3,0,3,0,11,13,13,85,51,130,15,311
POA2824,15,23,11,10,3,72,0,4,7,8,11,4,49,0,0,0,0,0,0,0,0,0,0,0,19,0,20,0,0,4,3,6,4,16,24,26,110,86,216,33,495
POA2825,3,53,13,19,0,104,6,0,26,16,27,4,84,0,0,0,0,3,0,0,0,0,6,0,3,0,12,0,0,0,0,10,10,21,33,20,142,73,304,31,611
POA2826,0,4,0,3,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,23,9,58
POA2827,7,65,16,25,6,124,11,0,41,24,61,7,155,0,0,0,0,4,0,3,0,0,0,6,36,0,42,0,0,3,0,20,7,35,29,22,197,116,479,39,883
POA2828,0,14,0,12,0,34,4,3,6,0,9,4,20,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,9,5,12,10,4,48,27,87,16,187
POA2829,7,46,17,26,3,114,5,4,34,24,39,3,109,0,0,0,0,0,0,0,0,0,0,0,23,0,27,0,0,3,0,11,10,24,30,17,157,107,298,36,646
POA2830,145,794,221,378,34,1776,457,181,1235,615,948,102,3551,11,4,46,33,122,11,229,19,3,49,75,453,23,618,36,8,68,41,241,83,472,1279,530,3819,2111,6496,571,14800
POA2831,3,33,5,11,3,58,4,4,19,23,24,0,75,0,0,0,0,4,0,3,0,0,4,0,16,0,19,0,0,0,0,16,0,18,3,15,115,86,266,19,512
POA2832,4,34,10,19,0,77,8,4,23,12,24,4,68,0,0,0,5,0,0,5,0,0,0,0,9,0,19,0,0,0,0,0,3,11,9,10,122,101,176,22,444
POA2833,0,11,0,7,0,17,0,0,10,7,4,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,4,31,22,43,8,115
POA2834,9,24,6,13,0,60,0,0,21,16,21,4,54,0,0,0,3,4,0,7,0,0,0,0,9,0,11,0,0,4,0,3,4,9,11,13,72,69,152,19,337
POA2835,0,55,15,16,0,104,3,0,34,16,28,0,85,0,0,0,0,0,0,0,0,0,8,4,37,3,50,0,0,0,0,23,5,28,37,20,202,124,598,52,1039
POA2836,0,9,4,4,5,26,0,4,6,7,0,0,18,0,0,3,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,5,8,7,31,35,60,10,153
POA2838,0,7,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,12,4,14,0,32
POA2839,4,17,4,5,3,47,6,0,13,9,12,5,47,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,4,16,3,55,35,80,18,206
POA2840,4,62,11,25,3,116,7,0,31,14,23,5,81,0,0,0,0,4,0,7,0,0,0,0,9,0,12,4,0,0,4,8,6,25,36,13,168,112,243,32,598
POA2842,5,12,3,7,0,25,0,0,4,6,8,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,8,5,33,32,78,8,157
POA2843,6,20,0,8,0,35,0,0,9,10,9,0,26,0,0,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,0,3,7,12,12,7,66,45,139,21,282
POA2844,0,29,16,13,0,61,4,0,12,3,11,0,34,0,0,0,0,5,0,0,0,0,0,0,8,0,7,0,0,0,0,4,0,11,6,12,71,51,150,18,307
POA2845,10,15,5,17,0,51,8,5,23,14,41,0,84,0,0,0,0,0,0,0,0,0,0,0,12,0,17,0,0,4,3,12,0,21,13,17,69,69,349,14,535
POA2846,0,6,0,3,0,6,0,0,3,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,17,11,36,0,66
POA2847,6,19,6,17,0,56,5,3,10,10,53,3,86,0,0,5,0,0,0,4,0,0,0,0,22,0,25,0,0,0,7,14,4,19,20,16,70,76,381,19,582
POA2848,0,11,3,7,0,26,0,0,9,14,20,5,51,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,3,0,4,12,4,26,28,135,11,228
POA2849,4,35,11,14,6,73,0,0,12,14,14,9,54,0,0,0,0,0,0,4,0,0,0,0,7,0,9,0,0,6,0,11,0,15,21,10,86,94,219,23,453
POA2850,61,297,73,117,12,628,68,48,259,146,276,24,826,3,0,18,5,35,0,61,4,6,16,36,214,5,282,6,0,18,19,96,32,167,300,174,1285,889,3270,225,6137
POA2852,8,40,12,19,6,102,0,3,33,38,55,3,133,0,0,0,0,3,0,5,0,0,0,3,43,0,43,0,0,6,3,24,9,30,30,14,146,141,648,40,1016
POA2864,3,14,7,3,0,29,0,0,12,9,5,0,24,0,0,0,0,0,0,3,0,0,0,0,11,0,11,0,0,0,0,8,3,16,10,9,63,45,133,12,264
POA2865,0,10,3,5,0,21,0,5,10,13,8,6,35,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,3,3,0,7,6,9,44,42,165,21,286
POA2866,6,44,21,21,0,105,7,5,52,35,48,5,156,0,0,4,0,6,0,7,0,0,0,4,24,0,32,5,0,0,3,19,8,32,46,32,210,144,492,48,973
POA2867,3,12,8,8,4,32,3,0,4,4,3,0,11,0,0,0,0,0,0,0,0,0,5,0,3,0,8,0,0,0,0,0,0,4,7,5,32,33,68,3,161
POA2868,0,13,0,6,0,19,0,0,7,3,13,0,20,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,8,0,8,6,0,29,18,75,9,136
POA2869,0,21,3,13,0,40,4,0,23,14,26,7,73,0,0,0,0,0,0,3,0,0,0,3,13,0,13,0,0,0,0,0,3,6,8,4,90,41,167,25,345
POA2870,30,200,40,83,5,387,40,34,128,90,206,14,510,0,0,0,7,8,0,20,0,0,17,16,128,3,166,0,0,9,9,63,21,105,155,111,694,481,1807,129,3374
POA2871,20,174,42,76,9,361,19,25,102,77,158,16,393,0,0,0,0,7,0,14,4,0,10,14,108,0,130,3,0,16,5,45,23,86,106,72,556,348,1300,118,2504
POA2873,0,6,5,5,0,30,0,0,9,10,5,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,3,32,28,73,14,153
POA2874,0,10,3,3,0,16,0,0,5,9,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,4,4,25,25,40,0,92
POA2875,0,11,7,4,0,31,4,0,10,11,7,4,37,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,6,0,0,4,12,0,47,36,97,11,215
POA2876,0,10,0,0,3,17,0,0,5,5,5,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,6,0,0,29,15,73,10,134
POA2877,13,62,10,37,6,133,7,0,35,18,34,6,113,0,0,0,0,3,0,3,0,0,0,7,21,0,29,6,0,6,6,20,6,40,41,27,190,120,435,45,861
POA2878,3,4,0,4,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,5,26,0,55
POA2879,6,3,4,3,0,16,3,0,6,0,3,0,8,0,0,0,0,3,0,5,0,0,0,0,0,0,5,0,0,0,0,3,0,3,8,6,17,8,50,3,96
POA2880,49,222,66,118,13,534,91,81,341,230,447,34,1223,0,6,3,10,33,0,55,0,0,8,26,160,10,205,0,0,12,9,66,29,124,221,196,838,675,2463,187,4580
POA2898,0,6,0,0,0,10,0,0,6,0,4,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,7,9,5,41,21,85,9,165
POA3000,109,567,77,49,20,1635,532,114,915,192,140,30,1919,79,16,207,65,41,9,408,83,8,191,133,114,19,544,233,16,350,116,72,124,905,5711,675,9881,2658,1720,572,21224
POA3002,29,85,11,10,4,267,147,25,203,25,13,7,430,15,7,41,5,3,3,78,19,3,38,8,17,0,78,16,5,30,8,0,5,67,719,175,1303,252,169,50,2668
POA3003,32,133,20,10,6,387,164,37,190,45,35,7,478,17,4,49,11,15,0,92,15,0,39,26,26,6,110,37,5,80,20,12,21,182,1183,213,2093,466,391,119,4449
POA3004,50,157,37,25,6,502,245,66,394,76,45,22,844,33,10,62,28,16,5,148,27,9,42,22,40,4,140,63,12,108,22,29,33,262,1555,308,2626,714,605,163,5969
POA3006,67,325,66,34,14,937,341,63,558,108,63,29,1166,73,22,190,88,61,4,438,49,9,98,59,58,15,291,154,13,222,51,53,52,554,3674,587,6128,1504,1137,370,13398
POA3008,41,169,22,14,5,459,200,49,290,62,46,15,649,21,3,64,25,24,5,138,26,5,59,46,47,0,191,76,11,133,35,18,33,303,2168,324,3844,884,736,195,8151
POA3011,185,435,85,50,6,1223,367,141,597,182,144,24,1456,48,24,143,41,36,7,299,47,14,98,55,78,8,303,74,11,147,50,57,63,404,2232,752,4500,1312,1403,234,10439
POA3012,185,507,98,74,21,1301,401,164,677,207,198,23,1671,32,9,117,53,64,0,277,45,14,121,61,118,6,361,59,8,167,66,87,50,438,2142,747,4739,1594,1924,282,11430
POA3013,120,366,56,38,10,843,247,100,431,103,73,21,981,36,15,86,35,38,0,212,23,11,68,41,61,5,201,30,8,108,26,41,23,233,1301,507,3232,923,1109,145,7213
POA3015,132,407,75,56,7,954,234,131,449,113,116,20,1055,21,9,94,37,51,6,214,18,11,71,47,90,6,249,30,6,101,39,46,23,252,1300,572,3436,1143,1493,150,8091
POA3016,119,357,65,43,13,825,194,75,357,99,77,17,819,23,7,60,24,22,5,146,30,8,48,34,77,7,202,29,9,81,21,32,19,189,1142,477,2674,929,1030,130,6377
POA3018,88,278,57,54,3,643,104,73,270,100,83,10,636,6,6,32,13,15,0,74,17,7,31,31,71,0,160,26,4,37,27,58,27,179,731,324,1893,801,1227,114,5095
POA3019,24,69,22,17,3,197,71,27,199,63,67,12,447,7,0,15,16,14,0,50,13,3,24,22,45,9,117,30,5,45,29,33,39,179,531,114,1204,441,546,136,2973
POA3020,137,436,110,118,13,1071,257,108,739,311,381,58,1857,19,6,88,38,44,6,191,33,14,102,108,200,17,471,83,8,198,88,176,110,661,1647,517,4438,2048,3003,481,12122
POA3021,92,334,137,117,18,846,200,104,705,352,493,55,1909,7,3,65,25,41,7,145,24,12,112,134,262,27,576,58,5,166,124,220,166,732,1253,354,3868,2242,3480,554,11742
POA3022,10,33,6,13,0,91,17,11,59,34,33,3,159,0,0,5,4,0,0,16,0,0,5,16,21,0,37,3,0,17,4,22,8,56,121,44,317,154,263,34,931
POA3023,213,762,246,201,33,1807,397,207,1353,573,624,95,3255,18,4,114,63,69,6,271,42,8,151,166,373,31,773,71,10,270,142,268,158,921,2150,746,7145,3497,5227,706,19474
POA3024,95,326,158,143,18,953,218,98,511,390,447,44,1718,22,6,54,32,49,4,160,27,3,48,52,185,5,327,81,4,138,84,164,71,543,2026,407,3576,1911,3187,370,11485
POA3025,59,180,41,37,3,414,81,58,203,75,64,20,498,3,0,38,6,15,3,62,7,4,32,27,78,4,148,27,3,48,38,55,21,194,447,235,1499,638,1005,110,3926
POA3026,18,85,20,18,3,187,50,34,195,70,68,9,431,3,0,21,15,9,4,51,10,0,21,14,49,4,96,13,0,35,22,27,22,123,279,101,1060,487,647,112,2679
POA3027,26,110,21,11,9,271,127,29,205,61,52,9,491,8,0,18,8,9,0,44,15,3,22,21,23,3,83,53,4,73,27,27,22,199,1116,152,1634,531,519,110,4058
POA3028,126,366,139,123,20,942,159,103,402,266,268,41,1229,13,10,49,33,49,8,152,20,20,55,75,199,8,379,50,6,98,56,118,60,385,1167,436,2754,1651,2804,321,9129
POA3029,343,1136,482,315,67,3233,989,404,2495,1356,1207,206,6661,61,17,169,101,109,16,486,146,22,252,315,583,43,1361,431,36,607,367,499,371,2302,8919,1560,14434,7842,9212,1685,43655
POA3030,401,1426,501,407,67,3745,877,424,2205,1034,1060,125,5726,72,25,244,135,158,3,643,117,25,232,264,645,36,1321,299,39,458,269,470,256,1792,7530,1796,14045,6660,10167,1309,41507
POA3031,120,362,62,29,6,1048,425,137,612,113,102,7,1395,42,15,119,35,38,5,247,44,19,73,31,47,5,216,43,13,110,37,42,26,275,2080,589,3873,891,857,138,8426
POA3032,181,580,106,75,21,1415,499,206,907,209,213,48,2077,40,18,153,52,55,0,321,46,10,100,62,131,9,359,88,10,180,62,71,58,464,2597,811,5808,1699,1994,315,13225
POA3033,90,273,67,58,14,619,123,51,295,91,103,12,671,4,6,30,13,15,0,75,11,0,34,42,106,4,200,15,0,51,34,59,22,189,529,276,1890,807,1291,149,4941
POA3034,57,187,43,39,6,415,86,35,247,88,90,20,559,13,0,18,9,15,0,55,6,4,33,23,78,11,148,16,3,71,21,42,20,171,442,172,1528,577,899,112,3731
POA3036,35,117,30,27,6,263,43,24,103,30,47,10,257,0,0,11,3,12,0,30,4,0,15,11,42,0,76,4,0,32,7,29,15,81,172,105,721,310,641,73,2024
POA3037,213,701,239,260,30,1699,260,142,843,452,504,79,2287,10,10,73,47,51,12,200,23,10,86,111,369,13,619,58,11,182,114,252,93,722,1497,656,5250,2950,5470,556,16385
POA3038,103,429,115,145,32,977,159,73,420,202,233,29,1113,8,0,44,22,27,8,104,13,4,54,70,190,16,341,22,3,80,41,134,52,324,695,357,2744,1452,2706,325,8287
POA3039,116,327,68,37,10,869,264,146,530,121,77,19,1156,17,14,77,23,23,0,155,24,18,44,27,74,4,186,46,7,98,35,43,25,246,1441,576,3236,1006,1075,143,7488
POA3040,155,604,99,70,14,1319,407,145,750,211,149,35,1694,22,16,97,41,47,3,223,35,8,79,65,110,8,296,52,12,153,53,74,61,401,1886,764,4875,1628,1928,292,11370
POA3041,75,274,65,56,10,622,153,72,313,99,73,16,720,6,0,54,10,19,0,93,10,4,47,25,73,0,168,27,5,64,22,31,30,179,725,306,2036,826,1099,129,5119
POA3042,96,354,75,68,6,750,143,80,315,154,92,21,800,10,3,44,23,27,0,110,12,6,39,53,135,4,243,12,5,67,35,79,31,230,642,329,2087,1071,1779,171,6081
POA3043,52,258,74,87,7,595,83,53,237,126,165,30,700,0,0,14,15,23,0,59,14,0,28,49,142,6,241,6,3,46,39,74,35,210,424,188,1561,987,1923,195,5288
POA3044,195,632,129,112,12,1493,407,172,729,247,212,44,1808,10,9,116,36,34,4,217,40,9,104,81,151,6,392,33,11,146,65,103,70,432,1890,767,4733,1791,2345,295,11825
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4
POA3046,155,539,160,125,10,1317,411,155,758,383,315,63,2088,26,11,87,30,37,0,198,44,8,112,82,184,5,433,97,18,172,89,98,70,550,2290,644,4745,2175,2770,410,13033
POA3047,37,147,49,44,11,381,88,38,220,142,158,26,665,0,0,13,8,13,0,45,13,0,29,39,73,9,166,36,4,52,42,93,51,277,673,124,1303,778,1116,204,4204
POA3048,47,126,50,53,8,355,65,35,166,119,128,15,530,0,0,8,4,7,0,23,3,4,18,28,73,0,130,13,3,43,32,71,43,210,330,128,894,563,976,160,3056
POA3049,43,146,51,60,3,353,39,27,139,78,97,21,398,0,0,13,12,4,0,37,7,3,15,17,95,3,141,3,0,16,22,46,11,103,206,123,802,615,1166,101,3005
POA3051,60,252,39,19,12,870,406,120,502,82,78,25,1217,33,11,99,28,22,4,196,45,9,65,22,32,4,181,60,0,105,26,28,29,245,2050,413,3140,637,558,136,6932
POA3052,23,137,5,13,6,452,158,26,205,21,25,8,439,15,8,35,5,13,3,77,18,0,30,3,18,0,75,18,3,34,6,5,11,90,936,128,1221,216,233,56,2793
POA3053,61,273,25,25,14,867,275,56,434,76,61,7,907,50,10,103,21,14,3,203,42,6,58,28,35,5,175,73,5,105,29,22,34,269,2114,275,3104,628,521,161,6803
POA3054,49,196,16,18,6,553,234,48,262,39,25,9,616,29,7,89,11,15,0,151,16,8,47,16,27,9,123,24,3,58,16,17,19,141,1176,285,2127,357,339,83,4360
POA3055,133,391,77,34,12,1082,310,128,490,118,96,21,1163,39,14,102,29,37,5,225,39,12,79,32,64,5,229,46,6,104,30,39,30,254,1640,517,3083,847,1003,150,7235
POA3056,224,672,88,46,10,1899,638,214,923,172,129,27,2104,103,33,258,60,24,10,480,62,22,163,51,95,7,399,65,19,215,48,45,41,434,3399,978,6224,1276,1330,200,13401
POA3057,128,355,46,37,9,1024,345,123,493,80,51,10,1101,54,19,157,26,22,0,270,41,9,73,33,59,4,223,43,8,140,29,23,21,269,1938,562,3581,751,754,119,7698
POA3058,329,765,158,119,14,2182,600,239,959,312,244,49,2395,61,32,179,69,49,10,395,73,17,127,85,161,7,470,66,19,170,73,87,47,460,3023,1110,6017,2027,2294,325,14800
POA3059,73,356,80,91,10,761,130,60,370,171,176,23,931,3,0,26,18,16,0,71,8,3,40,59,161,3,271,26,3,102,50,91,49,317,670,256,2359,1317,2081,244,6930
POA3060,59,155,49,41,4,450,113,47,216,120,106,17,618,4,5,24,11,15,0,57,16,0,34,29,75,10,160,31,3,73,30,45,31,222,750,192,1392,617,926,168,4037
POA3061,3,23,17,8,3,63,10,3,29,32,28,5,111,0,0,5,0,4,0,14,0,0,3,11,38,6,57,5,0,11,18,22,7,61,58,22,231,186,280,48,827
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA3063,5,10,4,7,0,16,4,0,9,0,6,0,14,0,0,4,0,0,0,4,0,0,0,0,5,0,4,0,0,0,0,0,0,4,10,5,41,32,86,4,183
POA3064,328,985,426,409,65,2804,733,326,2208,1210,1157,144,5788,21,14,88,63,77,7,273,80,17,171,260,634,46,1197,200,32,346,318,479,296,1666,4526,1180,9981,6690,9234,1275,32888
POA3065,46,187,17,13,3,521,272,60,367,63,48,17,831,40,12,94,24,8,0,176,34,0,49,15,36,4,135,26,6,110,30,21,23,212,1344,320,2576,467,437,103,5251
POA3066,51,179,14,24,3,480,213,49,360,50,57,16,743,51,3,83,22,14,0,179,19,9,27,21,33,4,111,46,8,100,25,20,22,225,1180,283,2469,494,505,100,5035
POA3067,46,192,21,16,4,489,244,65,379,61,57,8,805,23,9,74,18,13,3,143,14,11,52,26,37,6,141,34,10,96,24,23,23,212,1216,317,2653,548,519,99,5358
POA3068,148,436,40,35,13,1205,591,178,744,98,86,15,1712,73,22,189,34,19,7,345,63,16,85,42,58,5,274,71,14,168,29,22,22,319,2720,817,4827,788,780,138,10062
POA3070,242,664,91,49,21,1761,706,233,853,165,137,34,2116,68,34,218,54,33,6,409,50,22,129,50,91,6,346,68,16,194,44,54,33,407,3109,1077,5819,1222,1210,204,12639
POA3071,164,466,74,52,6,1222,414,170,625,170,126,15,1521,65,16,146,28,23,0,287,49,20,86,52,80,4,285,34,11,119,29,42,33,266,1845,728,4015,1082,1164,146,8990
POA3072,315,703,157,106,14,1913,533,210,974,309,261,46,2334,55,24,191,56,49,7,373,54,20,121,100,132,14,437,65,16,201,67,117,67,522,2559,1010,6012,2081,2358,364,14369
POA3073,290,817,200,190,26,2088,540,266,1127,496,531,72,3031,35,16,141,57,49,7,299,60,18,151,127,287,8,653,95,28,214,118,183,141,777,2877,995,6562,2935,4121,596,18078
POA3074,49,137,46,49,9,375,140,43,282,170,187,28,855,6,3,19,13,8,0,55,14,0,25,47,115,18,218,27,4,60,46,96,51,282,697,155,1475,889,1484,239,4940
POA3075,56,170,76,60,7,489,144,59,370,195,219,24,1017,11,3,15,10,19,0,58,8,6,37,50,120,9,236,33,6,76,43,86,53,294,721,209,1804,1083,1658,262,5738
POA3076,98,304,159,136,13,879,234,105,692,377,415,59,1881,3,8,34,21,29,0,97,38,3,55,92,222,20,438,46,5,116,83,169,73,486,1246,396,2893,1947,3075,392,9948
POA3078,116,296,50,29,5,819,319,115,469,88,60,27,1072,26,10,81,12,24,0,143,31,10,52,28,46,8,170,29,3,75,22,18,17,169,1334,514,2615,596,629,111,5798
POA3079,115,365,57,40,16,936,392,127,618,131,75,24,1375,19,7,72,21,22,3,148,31,9,63,24,71,0,199,46,0,95,28,41,18,232,1700,532,3419,834,882,167,7538
POA3081,82,238,48,35,9,603,248,102,436,128,159,22,1096,6,4,43,15,11,0,83,26,7,48,47,72,4,200,32,5,55,29,55,31,195,924,329,1989,744,1037,152,5178
