POA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA6207,0,0,0,0,0,0,0,0,0,9,5,0,19,0,0,0,19,17,0,31
POA6208,0,0,0,0,0,0,0,3,7,158,153,18,327,16,25,33,370,220,8,592
POA6209,0,0,0,0,0,0,0,0,0,20,16,0,44,5,5,3,50,41,5,95
POA6210,7,9,0,0,0,17,13,29,53,897,896,123,1923,118,129,241,2164,1445,43,3647
POA6211,0,4,0,0,0,4,5,0,10,81,87,10,174,23,14,31,201,117,3,320
POA6213,0,0,0,0,0,0,0,0,0,5,0,4,8,0,0,0,8,13,0,16
POA6214,0,0,0,0,0,0,0,0,0,11,3,0,11,0,0,0,15,18,0,29
POA6215,0,0,0,0,0,0,0,5,4,32,29,5,68,3,6,11,83,58,0,144
POA6218,0,0,0,0,0,0,0,0,0,6,4,0,14,0,0,0,14,14,0,27
POA6219,0,0,0,0,0,0,0,0,3,9,0,6,9,0,0,4,11,19,0,28
POA6220,0,0,0,0,0,0,0,0,4,42,36,6,84,7,8,9,95,71,5,165
POA6221,0,0,0,0,0,0,0,0,0,4,8,0,4,0,0,0,7,5,0,11
POA6223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6224,0,0,0,0,0,0,0,0,5,15,11,0,29,0,0,0,32,27,0,58
POA6225,0,0,0,0,0,0,5,0,10,82,85,13,173,18,17,30,208,185,3,398
POA6226,0,0,0,0,0,0,0,0,0,6,7,0,10,0,0,0,10,5,0,19
POA6227,0,0,0,0,0,0,0,0,0,6,6,0,15,0,0,0,16,6,0,25
POA6228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
POA6229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6230,3,7,0,0,0,5,11,8,26,675,567,87,1336,47,63,107,1437,831,18,2284
POA6232,0,3,0,0,0,3,3,0,9,176,138,19,326,17,6,22,347,129,5,476
POA6233,0,0,0,0,0,0,4,0,7,280,233,28,546,13,16,37,583,232,0,815
POA6236,0,0,0,0,0,0,0,0,0,27,15,3,45,0,0,0,48,13,0,59
POA6237,0,0,0,0,0,0,0,0,3,9,27,3,36,7,4,5,46,30,0,77
POA6239,0,0,0,0,0,0,0,3,3,26,45,10,78,3,3,4,84,75,0,157
POA6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
POA6244,0,0,0,0,0,0,0,0,0,8,13,4,26,0,3,3,27,24,0,51
POA6251,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,9,0,12
POA6252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6253,0,0,0,0,0,0,0,0,0,7,7,0,12,0,0,0,12,4,0,19
POA6254,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,7,10,0,21
POA6255,0,0,0,0,0,0,0,0,0,41,36,4,88,0,3,3,91,45,3,131
POA6256,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
POA6258,0,0,0,0,0,0,5,0,4,60,59,8,136,10,7,15,147,91,0,239
POA6260,0,0,0,0,0,0,0,0,0,8,9,0,23,0,0,0,23,19,0,37
POA6262,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,11,6,0,14
POA6271,0,0,0,0,0,0,0,0,0,49,48,5,99,3,0,4,102,48,4,158
POA6275,0,0,0,0,0,0,0,0,0,11,15,0,27,0,0,6,30,8,0,39
POA6280,0,3,0,0,0,3,3,8,11,369,406,43,806,15,14,32,843,365,11,1218
POA6281,0,4,0,0,0,4,0,0,4,71,105,16,191,0,4,6,195,55,0,257
POA6282,0,0,0,0,0,0,0,0,0,9,6,0,16,0,0,0,16,3,0,24
POA6284,0,0,0,0,0,0,0,0,0,27,34,0,61,0,0,0,60,11,0,70
POA6285,0,0,0,0,0,0,0,3,9,132,171,20,328,5,4,11,339,95,4,438
POA6286,0,0,0,0,0,0,0,0,0,5,8,0,18,0,0,0,17,6,0,19
POA6288,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,9,5,0,12
POA6290,0,0,0,0,0,0,0,0,0,12,23,0,30,3,0,3,36,17,0,51
POA6302,0,0,0,0,0,0,0,0,3,41,33,3,73,6,6,11,84,45,0,133
POA6304,0,0,0,0,0,0,0,0,0,7,10,0,17,7,0,3,29,19,0,47
POA6306,0,0,0,0,0,0,0,0,0,4,5,0,10,0,0,0,10,14,0,19
POA6308,0,0,0,0,0,0,0,0,0,10,9,3,24,0,0,6,25,24,0,51
POA6309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11
POA6311,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,4,8,0,17
POA6312,0,0,0,0,0,0,0,3,7,62,44,6,116,14,3,18,130,66,4,205
POA6313,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,7
POA6315,0,0,0,0,0,0,0,0,0,19,14,4,33,5,4,3,39,30,0,69
POA6316,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,9,5,0,9
POA6317,0,0,0,0,0,0,0,5,4,27,38,3,65,5,13,13,78,70,5,159
POA6318,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,7,11,0,17
POA6320,0,0,0,0,0,0,0,0,3,7,0,0,9,0,0,0,12,12,0,23
POA6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,18
POA6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
POA6323,0,0,0,0,0,0,0,0,0,8,14,0,21,0,0,0,22,15,0,38
POA6324,0,0,0,0,0,0,6,0,0,32,40,5,66,0,3,4,67,41,0,117
POA6326,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,5,8,0,19
POA6327,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
POA6328,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,4,9,4,0,7
POA6330,3,5,0,0,0,5,9,10,20,436,450,45,929,25,25,46,977,565,19,1565
POA6333,0,0,0,0,0,0,0,0,0,49,92,4,144,0,0,3,145,63,3,214
POA6335,0,0,0,0,0,0,0,0,0,5,5,0,7,0,0,0,7,5,0,13
POA6336,0,0,0,0,0,0,0,0,0,3,9,0,13,0,0,0,13,3,0,12
POA6337,0,0,0,0,0,0,0,0,0,10,5,0,8,0,0,0,9,0,0,14
POA6338,0,0,0,0,0,0,0,0,0,5,4,0,8,0,0,0,8,0,0,9
POA6341,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
POA6343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6346,0,0,0,0,0,0,0,4,4,10,4,0,13,0,0,0,16,3,4,21
POA6348,0,0,0,0,0,0,0,0,0,9,6,3,18,0,0,0,19,16,0,35
POA6350,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,5,6,0,3
POA6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6353,0,0,0,0,0,0,0,0,0,4,5,0,10,0,0,0,10,3,0,11
POA6355,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
POA6356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6358,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,4
POA6359,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,6,3,0,12
POA6361,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4
POA6363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
