POA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA6121,1269,1245,2514,651,322,977,160,413,575,52,57,111,29,30,56,890,825,1715,311,392,700,2.8,3.7,3.2,70.4,65.8,68.2,68.5,63.4,66,18,25,48,10,27,40,92,158,249,93,133,231,428,186,613,14,26,41,13,50,63,454,266,716,1352,1326,2683,147,153,297,1049,1000,2046,401,422,818
POA6122,7580,8173,15756,4463,2434,6905,877,2458,3337,356,366,722,198,267,463,5901,5523,11425,1281,2349,3626,3.4,4.8,4.1,77.8,67.6,72.5,75.2,64.4,69.6,154,197,353,69,190,263,548,984,1531,591,1038,1626,2618,1566,4185,123,194,313,102,198,303,2847,1959,4795,8706,9130,17841,1311,1470,2779,5563,5556,11115,3540,4111,7652
POA6123,851,854,1703,451,208,657,94,242,330,42,51,91,30,24,57,616,525,1137,168,282,453,4.6,5.3,4.9,72.1,61.4,66.7,68.8,58.2,63.5,13,3,18,4,15,16,33,92,131,32,107,144,308,156,463,16,22,39,14,19,36,341,202,538,888,895,1780,124,130,257,526,497,1017,412,451,861
POA6124,456,491,941,237,136,371,37,126,162,34,24,52,14,10,23,319,298,611,107,160,267,3.8,4.4,4.1,69.5,60.1,64.6,66.8,57.5,62,6,14,19,4,18,23,40,75,120,34,55,97,136,87,225,0,7,9,13,11,27,155,98,258,512,507,1026,32,53,89,381,389,767,139,151,286
POA6125,1688,1373,3062,653,330,979,141,405,551,85,62,149,33,23,57,912,825,1736,678,466,1143,3.5,2.9,3.2,53.8,60.4,56.8,52,58.6,54.9,21,18,43,14,27,39,99,171,265,93,128,227,461,220,678,14,23,33,26,33,55,490,277,768,1294,1315,2613,195,208,402,966,982,1945,452,478,925
POA6126,128,100,229,41,19,57,12,39,51,11,5,17,0,0,3,60,65,125,56,31,85,1.6,1.6,1.6,48.8,62.4,54.8,48.1,61.4,53.9,6,0,6,0,4,4,19,6,29,12,13,30,33,17,47,0,0,0,3,4,3,39,19,57,120,94,210,16,11,29,90,71,160,41,31,78
POA6147,6146,6127,12268,2615,1451,4063,992,1599,2594,196,180,379,265,248,514,4071,3477,7550,1767,2397,4160,6.5,7.1,6.8,66.2,56.8,61.5,61.9,52.8,57.3,337,339,672,83,147,226,929,1138,2064,551,600,1154,1240,696,1943,78,96,181,80,136,213,1399,933,2332,6250,6310,12560,885,814,1700,4228,4275,8504,2494,2472,4965
POA6148,7379,8092,15469,3278,1863,5138,1136,2216,3354,170,239,408,264,218,479,4846,4529,9372,2258,3279,5533,5.4,4.8,5.1,65.7,56,60.6,62.1,53.3,57.5,836,706,1543,188,286,465,1715,2073,3786,647,847,1493,1273,611,1880,75,92,171,82,169,253,1427,875,2300,7620,8147,15769,1212,1285,2496,5021,5420,10439,3421,3650,7067
POA6149,7489,7982,15466,3411,1980,5395,1133,2275,3406,213,205,413,227,211,436,4980,4670,9647,2263,3116,5378,4.5,4.5,4.5,66.5,58.5,62.4,63.5,55.9,59.6,800,604,1413,213,358,573,1760,2064,3830,730,896,1617,1250,564,1821,71,101,170,98,188,285,1423,855,2278,8017,8408,16423,922,951,1873,5767,6172,11939,2773,2843,5613
POA6150,5382,5828,11207,2208,1178,3385,870,1624,2498,124,164,287,173,177,347,3379,3147,6523,1780,2463,4243,5.1,5.6,5.4,62.7,54,58.2,59.5,50.9,55.1,584,458,1041,148,226,378,1471,1533,2998,530,606,1136,692,349,1043,67,60,127,65,135,202,824,547,1368,5293,5534,10832,805,944,1751,3738,3907,7647,2130,2352,4478
POA6151,7238,7549,14794,3478,2249,5720,1198,2113,3307,187,230,418,223,188,419,5083,4782,9871,1769,2359,4130,4.4,4,4.2,70.2,63.3,66.7,67.1,60.8,63.9,944,853,1798,216,373,597,2092,2209,4304,654,757,1419,848,499,1344,46,85,138,88,131,220,981,717,1703,6672,6682,13353,1421,1473,2895,3935,4067,8004,3774,3764,7542
POA6152,10710,11702,22412,4869,3268,8147,1744,3070,4812,308,372,679,361,311,670,7278,7026,14305,2853,4081,6938,4.9,4.4,4.7,68,60,63.8,64.6,57.4,60.8,1222,1085,2301,326,530,852,2850,3277,6131,932,1140,2071,1400,782,2182,101,116,221,102,210,312,1599,1111,2712,9847,10589,20435,2142,2248,4392,5858,6490,12347,5579,5747,11325
POA6153,8352,9337,17690,3973,2386,6359,1329,2662,3993,225,277,501,258,249,505,5781,5573,11350,2271,3495,5760,4.5,4.4,4.5,69.2,59.6,64.2,66.1,57,61.3,1097,935,2037,272,448,714,2489,2831,5316,755,965,1720,989,552,1543,56,102,162,89,196,282,1138,848,1982,8286,9021,17307,1595,1718,3312,5049,5604,10648,4376,4720,9097
POA6154,4094,4564,8660,1909,1112,3029,655,1284,1938,107,136,249,153,117,264,2824,2654,5481,1127,1785,2918,5.4,4.3,4.9,69.1,58.1,63.3,65.3,55.6,60.2,386,351,732,132,218,350,1033,1245,2277,394,491,886,671,346,1012,40,47,91,56,115,171,770,506,1275,4284,4615,8904,612,713,1327,2804,3053,5860,1869,2061,3934
POA6155,21387,21473,42858,10138,5691,15839,3204,6253,9457,608,639,1240,753,784,1540,14707,13378,28078,5976,7626,13602,5.1,5.9,5.5,68.8,62.3,65.5,65.2,58.6,61.9,1973,1791,3759,385,692,1072,4383,5216,9597,1958,2142,4098,3523,1769,5282,227,281,511,221,424,647,3976,2474,6446,22045,22977,45028,2914,2965,5878,15302,15978,31274,8483,8805,17287
POA6156,6865,7883,14751,3321,1995,5318,1089,2375,3464,199,242,435,191,201,387,4795,4809,9606,1706,2732,4440,4,4.1,4,69.9,61,65.1,67.1,58.5,62.5,498,530,1034,203,352,555,1491,1953,3440,657,823,1477,1296,666,1958,75,123,197,97,206,304,1469,988,2459,6962,7872,14831,1132,1329,2458,4654,5197,9860,3029,3535,6568
POA6157,5557,6566,12128,2673,1719,4392,814,1992,2805,197,256,453,168,148,320,3854,4112,7969,1424,2173,3600,4.3,3.6,4,69.3,62.6,65.7,66.3,60.3,63.1,416,453,868,163,350,513,1232,1762,2997,540,726,1268,1147,548,1693,54,87,142,76,142,213,1274,777,2054,5521,6285,11804,927,1082,2010,3647,4118,7761,2453,2901,5359
POA6158,3046,3394,6439,1396,880,2282,485,1059,1548,78,113,190,98,73,173,2057,2131,4188,845,1123,1968,4.8,3.6,4.2,67.5,62.9,65.1,64.3,60.6,62.4,321,318,639,114,217,332,817,1007,1814,274,323,598,401,203,607,36,34,69,45,78,123,479,319,795,3026,3293,6308,488,603,1092,2045,2223,4263,1280,1509,2786
POA6159,1642,1837,3481,694,496,1193,282,469,752,57,70,131,37,32,74,1075,1071,2140,482,683,1167,3.6,2.9,3.3,65.4,58.2,61.6,63,56.5,59.6,228,225,452,46,98,142,470,564,1038,156,191,346,176,104,280,11,10,19,20,36,57,203,149,352,1384,1526,2911,350,389,737,832,869,1701,842,991,1832
POA6160,4079,4185,8265,1739,1210,2950,641,1193,1834,127,143,269,165,107,277,2670,2657,5327,1000,1258,2261,6.1,4.1,5.1,65.4,63.5,64.4,61.4,60.9,61.1,463,527,990,123,212,337,911,1207,2115,373,382,756,593,287,877,39,51,89,50,67,122,682,407,1087,3195,3342,6534,892,984,1875,1784,1871,3654,2147,2314,4468
POA6161,84,68,149,50,31,81,17,24,36,4,8,8,0,0,4,64,57,128,6,3,6,1.5,1.7,1.6,81.7,85.5,83.4,80.5,84.1,82.1,3,5,8,0,0,0,11,11,29,13,6,23,16,9,28,0,6,0,0,0,0,18,10,29,50,30,74,31,35,72,23,16,38,49,49,97
POA6162,4877,5263,10137,2071,1328,3400,798,1624,2428,186,199,388,177,136,316,3235,3296,6525,1351,1731,3085,5.5,4.2,4.8,66.4,62.6,64.4,62.7,60,61.3,506,540,1044,131,304,436,1059,1463,2522,460,515,979,815,394,1212,51,59,110,68,99,163,934,551,1482,4702,4976,9683,767,887,1654,2975,3171,6153,2172,2411,4592
POA6163,22282,23993,46271,10046,6170,16224,3199,6620,9819,745,850,1598,845,717,1562,14841,14356,29199,6117,8466,14575,5.7,5,5.3,66.6,59.8,63.1,62.8,56.8,59.7,1170,1333,2504,413,855,1274,3306,4834,8142,1886,2443,4325,5377,2550,7920,282,404,689,345,546,895,6004,3498,9508,21241,22580,43814,3603,3957,7562,13894,14766,28661,9584,10584,20170
POA6164,25196,26241,51437,14652,8245,22901,3216,8308,11524,917,1075,1991,866,860,1726,19651,18487,38141,4403,6893,11296,4.4,4.6,4.5,78,70.5,74.1,74.6,67.2,70.8,1353,1355,2710,390,842,1231,3828,5441,9269,2268,2962,5229,6518,3551,10066,375,539,909,339,554,890,7228,4636,11868,26395,27068,53467,4515,4820,9333,16762,17041,33806,12025,12843,24866
POA6165,36,24,61,16,4,26,5,9,7,5,0,3,0,0,0,21,12,34,16,7,24,4.3,7.1,5.4,60.5,56,58.7,57.9,52,55.6,0,0,0,0,0,0,0,0,0,5,3,8,13,3,15,6,0,6,0,0,0,11,6,19,25,24,47,9,4,14,18,19,39,15,10,23
POA6166,4386,4483,8873,2239,1102,3342,540,1414,1959,177,174,353,103,105,208,3063,2794,5858,1073,1485,2559,3.3,3.8,3.5,69.8,62.4,66,67.4,60,63.7,137,151,289,45,130,181,463,768,1228,400,485,889,1376,560,1940,50,51,104,71,106,169,1491,721,2213,4467,4502,8969,535,620,1155,3071,3136,6207,1679,1747,3426
POA6167,11763,10811,22573,4946,2660,7605,1270,2805,4075,421,411,832,569,495,1066,7199,6378,13574,3867,3875,7747,7.9,7.8,7.9,61.2,59,60.1,56.4,54.4,55.4,221,283,507,77,223,298,928,1392,2321,751,1074,1824,2938,1690,4631,227,313,541,134,263,398,3296,2274,5566,10880,10958,21841,1714,1807,3520,7253,6949,14202,4453,4989,9440
POA6168,10684,10760,21438,4041,2126,6167,1010,2253,3260,410,361,777,544,421,962,6006,5166,11175,3506,4779,8288,9.1,8.1,8.6,56.3,48,52.1,51.2,44.1,47.6,147,179,329,81,176,263,533,892,1431,746,1005,1751,3125,1675,4805,167,236,404,145,245,389,3442,2157,5599,9283,9656,18944,1807,1842,3646,6185,6354,12540,4435,4640,9073
POA6169,13985,14591,28573,6033,3154,9191,1502,3655,5160,592,518,1110,668,572,1239,8799,7891,16695,4203,5918,10122,7.6,7.2,7.4,62.9,54.1,58.4,58.1,50.2,54.1,239,292,529,137,304,437,891,1639,2530,1114,1523,2638,4537,2381,6917,253,371,623,217,368,585,5009,3122,8127,14161,14664,28832,2034,2144,4172,9926,10144,20071,5339,5840,11180
POA6170,6289,6534,12824,3606,2011,5618,813,1867,2678,258,281,540,247,272,521,4925,4432,9356,1003,1831,2835,5,6.2,5.6,78.3,67.9,73,74.4,63.7,68.9,289,340,631,68,180,242,810,1231,2039,527,676,1205,1716,1094,2810,128,156,281,83,144,230,1925,1393,3320,6828,7024,13848,1176,1221,2398,3701,3682,7389,3586,3860,7450
POA6171,13217,14355,27574,7536,4168,11703,1378,4167,5544,616,610,1234,449,547,992,9984,9491,19473,2345,4249,6594,4.5,5.8,5.1,75.5,66.1,70.6,72.1,62.3,67,283,322,604,118,340,464,1030,1927,2954,1179,1743,2918,4227,2726,6945,222,376,601,185,327,515,4634,3429,8066,14330,15203,29530,2685,3032,5711,8542,8939,17486,6966,7952,14918
POA6172,5116,5392,10504,2484,1269,3745,552,1502,2056,256,215,475,250,228,480,3538,3219,6755,1209,1912,3121,7.1,7.2,7.2,69.2,59.8,64.4,64.3,55.5,59.7,72,79,150,43,95,133,249,510,752,430,560,990,1624,1006,2633,100,156,255,75,139,216,1798,1305,3104,5376,5596,10975,807,848,1656,3755,3897,7653,2008,2220,4232
POA6173,4651,4679,9331,2715,1344,4058,555,1633,2190,219,189,405,166,155,322,3659,3328,6986,731,1219,1952,4.5,4.8,4.6,78.6,71.1,74.8,75.1,67.7,71.4,110,115,222,59,118,174,375,719,1089,499,575,1071,1564,878,2445,82,115,198,61,127,189,1705,1123,2825,5070,5052,10119,849,937,1788,3355,3258,6606,2197,2407,4604
POA6174,2042,2194,4240,1063,643,1706,268,677,953,117,90,211,74,86,164,1534,1496,3031,373,597,972,5.1,5.8,5.4,75,68.3,71.5,71.2,64.3,67.6,32,34,63,19,53,70,123,288,412,146,265,411,701,513,1212,48,60,104,20,56,74,771,624,1396,2214,2257,4472,378,439,818,1151,1164,2312,1221,1366,2591
POA6175,1488,1557,3042,771,420,1192,194,504,701,82,67,150,53,62,115,1102,1057,2153,305,455,765,4.6,5.8,5.2,74,67.9,70.9,70.5,63.9,67.2,23,37,60,13,57,70,116,246,354,146,189,333,516,297,817,20,35,52,30,31,59,573,360,931,1612,1672,3287,257,276,530,1107,1139,2244,630,701,1330
POA6176,756,783,1542,416,196,612,77,262,336,46,41,83,22,30,49,555,525,1085,149,225,371,3.6,5.7,4.6,73.7,67.3,70.5,71.1,63.5,67.2,14,14,33,9,20,27,38,72,116,70,99,168,258,176,434,7,16,20,16,21,37,285,210,488,787,836,1628,148,182,327,482,486,969,367,446,816
POA6180,2410,2649,5063,1168,649,1817,299,771,1068,144,95,240,93,94,181,1706,1610,3308,566,932,1502,5.3,5.8,5.5,70.6,60.7,65.4,66.8,57.2,61.8,49,55,108,28,64,89,158,360,516,171,327,493,778,506,1285,46,73,118,43,70,109,864,653,1513,2596,2800,5391,448,540,994,1525,1605,3130,1306,1504,2808
POA6181,197,198,394,111,70,178,25,56,81,11,9,16,4,6,9,148,135,284,45,59,107,2.7,3.7,3.2,74.6,67.7,71.1,72.6,65.2,68.9,0,0,0,0,0,0,10,30,38,24,22,45,83,42,130,0,4,4,0,10,15,87,62,146,199,214,413,22,26,48,162,168,328,57,62,118
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,467,490,959,245,117,367,40,123,162,23,24,43,7,9,17,318,275,590,104,168,269,2.8,2.9,2.9,67.7,55.6,61.5,65.7,54,59.7,6,7,21,0,16,15,18,42,59,27,46,69,153,93,246,6,15,25,5,9,21,168,114,284,466,457,923,91,97,185,282,271,550,239,252,490
POA6208,5134,5400,10541,1936,954,2887,518,1270,1790,224,198,417,191,175,366,2873,2595,5469,1842,2438,4278,6.7,6.7,6.7,55.9,48,51.9,52.1,44.8,48.4,46,57,103,27,81,119,208,401,606,291,506,799,1614,883,2499,91,135,227,71,141,214,1772,1160,2939,4922,5150,10074,851,914,1761,3249,3381,6639,2200,2391,4595
POA6209,911,847,1757,262,142,405,96,202,299,39,20,59,31,38,72,431,408,841,367,376,738,7.6,9.5,8.5,48,48.2,48.1,44.3,43.6,44,4,18,19,0,10,12,26,67,90,36,63,99,258,116,375,8,21,26,13,15,30,280,153,432,825,760,1586,95,123,219,618,575,1196,275,283,553
