POA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA3192,47,16,97,40,45,43,11,22,5,325,0,0,0,0,0,0,0,6,0,5,35,50,21,21,29,10,9,9,0,183,23,11,24,18,21,13,5,14,28,161,1690,3363,1124,897,1181,560,189,296,138,9440
POA3193,41,10,46,28,28,21,0,5,3,186,0,0,3,3,0,0,0,0,0,3,42,35,11,13,26,9,0,3,10,151,23,13,10,8,7,8,0,5,36,112,2071,2946,551,438,879,437,74,131,147,7665
POA3194,32,13,74,36,25,23,3,14,7,232,0,0,0,0,0,0,0,0,0,6,37,28,4,3,15,0,0,4,3,99,13,19,14,4,5,7,4,5,21,94,1002,1990,581,525,707,266,120,143,82,5412
POA3195,74,21,166,83,81,66,14,32,4,544,0,0,0,0,0,0,0,0,0,7,45,62,18,25,40,19,17,8,0,238,37,23,47,21,21,24,6,12,57,246,2840,5190,1771,1352,1797,827,277,411,195,14654
POA3196,46,22,120,75,71,37,18,37,11,434,0,0,0,0,0,0,0,0,0,4,30,48,14,20,25,8,10,8,16,190,21,24,42,19,16,13,18,15,33,201,1624,3478,1571,1131,1284,491,250,376,148,10355
POA3197,29,4,58,27,18,20,12,10,6,189,0,0,0,0,0,0,0,0,0,0,17,16,12,5,5,0,5,5,3,70,21,9,20,9,12,9,3,3,26,105,794,1280,727,474,549,253,121,155,84,4444
POA3198,34,12,89,50,50,38,17,40,0,344,0,0,0,0,0,0,0,0,0,10,17,12,13,18,14,8,3,6,9,96,15,10,33,13,12,0,11,27,31,156,771,1571,1113,728,678,350,208,314,113,5854
POA3199,104,43,285,169,116,112,35,109,11,990,0,0,0,0,3,3,5,3,0,15,69,70,27,44,47,17,12,20,18,331,38,57,75,33,43,49,23,55,72,439,2563,5458,3121,2506,2062,1085,631,1033,289,18740
POA3200,7,3,33,15,14,9,12,20,0,123,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,5,0,25,4,4,15,10,3,9,12,9,3,64,115,165,280,232,122,70,106,152,23,1264
POA3201,47,11,148,61,62,56,34,71,7,499,0,0,4,0,0,3,0,3,0,6,18,13,18,15,16,5,7,13,3,115,14,17,50,16,24,15,26,33,43,239,736,1410,1535,1122,939,442,443,569,147,7344
