POA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA3202,13,4,15,3,3,3,0,3,0,39,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,16,4,3,3,5,0,0,0,0,5,20,219,356,127,99,129,50,25,38,19,1055
POA3204,68,24,175,61,58,40,13,23,3,466,0,0,3,0,0,3,3,0,0,11,58,97,21,27,32,22,9,7,10,274,36,32,28,20,25,21,10,8,46,220,2778,5789,1179,1133,1644,747,252,363,220,14109
POA3205,38,10,55,28,22,12,4,12,0,174,4,0,0,0,0,0,0,0,0,3,29,33,8,9,21,3,0,0,5,111,19,13,10,9,12,6,0,4,28,90,1208,2536,331,345,614,255,48,131,100,5571
POA3206,11,3,20,4,10,4,0,8,3,65,0,0,0,0,0,0,0,0,0,4,27,37,3,9,9,4,0,4,4,97,15,16,0,3,5,4,3,0,8,61,1201,1896,210,175,358,189,33,46,81,4188
POA3207,48,17,75,35,32,21,5,14,4,249,0,0,0,0,0,0,0,0,0,3,40,54,12,21,17,15,10,10,3,159,17,21,16,10,13,8,10,11,26,130,2023,3249,544,489,840,376,97,152,144,7909
POA3211,0,0,0,5,6,5,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,4,0,0,4,0,0,7,24,64,81,79,44,46,18,26,26,14,386
POA3212,26,8,88,70,49,34,35,28,5,334,0,3,0,0,0,0,0,0,0,0,9,14,19,9,11,4,14,14,4,97,14,16,24,12,20,6,23,9,29,152,684,1530,1145,957,743,307,389,346,93,6191
POA3213,14,3,32,4,13,0,6,9,0,82,0,0,0,0,0,0,0,0,0,3,0,4,5,8,0,0,0,0,0,24,6,4,9,7,3,0,5,8,6,58,244,364,327,178,183,66,90,113,28,1600
POA3214,39,8,122,56,22,34,53,67,8,406,0,0,0,0,0,0,0,3,0,7,4,8,9,9,12,4,15,10,3,70,4,10,47,36,9,11,27,56,42,239,293,667,871,1063,438,325,532,604,124,4913
POA3215,35,6,132,61,43,42,19,51,8,390,0,0,0,0,0,0,0,0,0,7,12,24,10,15,16,7,11,19,5,119,19,21,41,27,15,21,10,30,35,217,799,2045,1239,1003,821,406,354,464,131,7267
POA3216,119,20,343,189,126,113,33,107,15,1060,0,5,5,0,4,0,0,0,0,16,38,74,39,68,50,9,27,23,13,345,36,46,58,56,36,24,29,41,82,406,2744,7441,3189,3007,2364,1133,793,1173,299,22152
POA3217,59,19,201,102,74,57,22,50,8,585,0,0,0,0,0,0,0,4,0,4,12,18,15,28,11,9,7,14,9,120,15,20,33,26,8,12,4,10,38,171,1019,2663,1389,1414,937,469,319,447,119,8773
