model,selected_by_cv,best_parameters,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,cv_spearman_mean,train_mae,test_mae,test_rmse,test_r2,test_spearman,test_minus_train_mae
XGBoost,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.8}",0.10656517397366738,0.03441593739678559,0.1493525858546111,0.18192266823298917,0.5381995319294951,0.04747757841057441,0.11736706002960585,0.21408958282410104,0.07699120519547786,0.40659340659340654,0.06988948161903144
KNN,True,"{""n_neighbors"": 8, ""p"": 2, ""weights"": ""distance""}",0.10998912269705656,0.03391136735380993,0.15295845516085504,0.13172529221895837,0.5666810926223368,0.0,0.11576235885639867,0.1710936224445916,0.41050189926135594,0.6263736263736264,0.11576235885639867
Random Forest,False,"{""max_depth"": 4, ""max_features"": 0.7, ""min_samples_leaf"": 4, ""n_estimators"": 400}",0.11598055087515811,0.033307550658774644,0.15358637736957956,0.1636159651136255,0.48302277228966417,0.06618643816884705,0.11893059769099965,0.20136817832638593,0.1834243037309774,0.3626373626373627,0.0527441595221526
Linear Regression,False,"{""fit_intercept"": true}",0.13250468571881277,0.043619923950393866,0.18059310023295264,-0.21184517732682212,0.5648309997333972,0.07659645775791223,0.17250631784923923,0.21758215190992208,0.04663039298911298,0.42857142857142855,0.095909860091327
Mean Baseline,False,{},0.17791524434247286,0.024312891439578745,0.19636320160771262,-0.30644908940353743,0.0,0.17322366889283272,0.19178543958011512,0.22290198414071435,-0.0005588462301522323,0.0,0.018561770687282403
