postcode,check,difference,action
3076,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3078,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3079,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3081,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3082,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3083,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3084,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3085,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3087,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3088,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3089,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3090,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3091,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3093,family_additivity,7.0,retain counts; ABS perturbation can break additivity
3094,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3095,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3096,family_additivity,7.0,retain counts; ABS perturbation can break additivity
3097,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3099,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3101,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3102,family_additivity,-11.0,retain counts; ABS perturbation can break additivity
3103,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3104,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3105,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3106,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3107,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3108,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3109,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3111,family_additivity,10.0,retain counts; ABS perturbation can break additivity
3113,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3114,family_additivity,10.0,retain counts; ABS perturbation can break additivity
3115,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3116,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3121,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3122,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3123,family_additivity,16.0,retain counts; ABS perturbation can break additivity
3124,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3125,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3126,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3127,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3128,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3129,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3130,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3131,family_additivity,8.0,retain counts; ABS perturbation can break additivity
3132,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3134,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3135,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3136,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3137,family_additivity,7.0,retain counts; ABS perturbation can break additivity
3138,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3140,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3141,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3142,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3143,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3144,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3145,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3146,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3147,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3148,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3149,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3150,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3151,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3152,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3153,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3154,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3155,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3156,family_additivity,7.0,retain counts; ABS perturbation can break additivity
3158,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3159,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3160,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3161,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3162,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3163,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3165,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3166,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3167,family_additivity,10.0,retain counts; ABS perturbation can break additivity
3168,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3169,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3170,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3171,family_additivity,6.0,retain counts; ABS perturbation can break additivity
3172,family_additivity,6.0,retain counts; ABS perturbation can break additivity
3173,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3174,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3175,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3177,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3178,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3179,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3180,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3181,family_additivity,-9.0,retain counts; ABS perturbation can break additivity
3182,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3183,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3184,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3185,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3186,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3187,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3188,family_additivity,-11.0,retain counts; ABS perturbation can break additivity
3189,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3190,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3191,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3192,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3194,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3195,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3196,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3197,family_additivity,6.0,retain counts; ABS perturbation can break additivity
3198,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3199,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3200,family_additivity,-10.0,retain counts; ABS perturbation can break additivity
3201,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3202,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3205,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3206,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3207,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3211,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3212,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3213,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3214,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3215,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3216,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3218,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3219,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3220,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3221,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3222,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3223,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
3224,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3225,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3226,family_additivity,13.0,retain counts; ABS perturbation can break additivity
3227,family_additivity,-9.0,retain counts; ABS perturbation can break additivity
3228,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3230,family_additivity,13.0,retain counts; ABS perturbation can break additivity
3231,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3232,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3234,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3235,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3236,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3237,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3238,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3239,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3240,family_additivity,6.0,retain counts; ABS perturbation can break additivity
3241,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3242,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3249,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3250,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3254,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3260,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3264,family_additivity,-10.0,retain counts; ABS perturbation can break additivity
3265,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3266,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3267,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3268,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3269,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3270,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3271,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3273,family_additivity,7.0,retain counts; ABS perturbation can break additivity
3274,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3275,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3276,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3277,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3278,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3279,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3280,family_additivity,7.0,retain counts; ABS perturbation can break additivity
3281,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3282,family_additivity,12.0,retain counts; ABS perturbation can break additivity
3284,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3285,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3286,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3287,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3289,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3292,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3293,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3294,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3300,family_additivity,8.0,retain counts; ABS perturbation can break additivity
3301,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3302,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3303,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3304,family_additivity,10.0,retain counts; ABS perturbation can break additivity
3305,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3309,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3310,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3311,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3312,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3314,family_additivity,-10.0,retain counts; ABS perturbation can break additivity
3315,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3317,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3318,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3321,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3322,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3324,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3325,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3328,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3329,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
3330,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3331,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3332,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3333,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3334,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3335,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3336,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3337,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3338,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3340,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3341,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3342,family_additivity,9.0,retain counts; ABS perturbation can break additivity
3345,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3350,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3351,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3352,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3355,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3356,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3357,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3360,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3361,family_additivity,8.0,retain counts; ABS perturbation can break additivity
3363,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3370,family_additivity,8.0,retain counts; ABS perturbation can break additivity
3371,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3373,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3375,family_additivity,7.0,retain counts; ABS perturbation can break additivity
3377,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3378,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3379,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3381,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3384,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3385,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3387,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3390,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3391,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3392,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3393,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3395,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3396,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3400,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3401,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3407,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3409,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3412,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3413,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3414,family_additivity,-10.0,retain counts; ABS perturbation can break additivity
3415,family_additivity,6.0,retain counts; ABS perturbation can break additivity
3418,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3419,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3420,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3424,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3428,family_additivity,-9.0,retain counts; ABS perturbation can break additivity
3429,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3430,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3431,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3432,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3433,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3434,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3435,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3437,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3438,family_additivity,-11.0,retain counts; ABS perturbation can break additivity
3440,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3441,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3442,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3444,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3446,family_additivity,8.0,retain counts; ABS perturbation can break additivity
3447,family_additivity,9.0,retain counts; ABS perturbation can break additivity
3448,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3450,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3451,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3453,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3458,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3460,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3461,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3462,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3463,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3465,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3467,family_additivity,-9.0,retain counts; ABS perturbation can break additivity
3468,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3469,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3472,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3475,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3477,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3478,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3480,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3482,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3483,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3487,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3488,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3490,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3491,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3494,family_additivity,-11.0,retain counts; ABS perturbation can break additivity
3496,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3498,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3500,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3501,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3505,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3506,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3507,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3509,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3512,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3516,family_additivity,8.0,retain counts; ABS perturbation can break additivity
3517,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3518,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3520,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3521,family_additivity,10.0,retain counts; ABS perturbation can break additivity
3525,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3529,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3530,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3531,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3533,family_additivity,7.0,retain counts; ABS perturbation can break additivity
3537,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3540,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3542,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3544,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3549,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3550,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3551,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3555,family_additivity,8.0,retain counts; ABS perturbation can break additivity
3556,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3557,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3558,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3562,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3563,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3564,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3565,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3566,family_additivity,6.0,retain counts; ABS perturbation can break additivity
3567,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3568,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3570,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3571,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3572,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3573,family_additivity,-12.0,retain counts; ABS perturbation can break additivity
3576,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
3579,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3580,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3581,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3583,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3585,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3586,family_additivity,-10.0,retain counts; ABS perturbation can break additivity
3588,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3589,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3590,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3591,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3594,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3595,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3596,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3597,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3607,family_additivity,6.0,retain counts; ABS perturbation can break additivity
3608,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3610,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3612,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3614,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3616,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3617,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3618,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3620,family_additivity,-9.0,retain counts; ABS perturbation can break additivity
3621,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
3622,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3623,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3624,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3629,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3630,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3631,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3633,family_additivity,9.0,retain counts; ABS perturbation can break additivity
3634,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3635,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3636,family_additivity,-10.0,retain counts; ABS perturbation can break additivity
3637,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3638,family_additivity,8.0,retain counts; ABS perturbation can break additivity
3639,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3640,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3641,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3644,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3646,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3647,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3658,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3659,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3660,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3662,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3663,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3664,family_additivity,10.0,retain counts; ABS perturbation can break additivity
3665,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3666,family_additivity,8.0,retain counts; ABS perturbation can break additivity
3669,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3670,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3672,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3673,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3675,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3678,family_additivity,7.0,retain counts; ABS perturbation can break additivity
3682,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3683,family_additivity,7.0,retain counts; ABS perturbation can break additivity
3685,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3688,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3690,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3691,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3695,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3697,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3698,family_additivity,-11.0,retain counts; ABS perturbation can break additivity
3699,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3700,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3701,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
3704,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3705,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3707,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3708,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3709,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3711,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3712,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3713,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3714,family_additivity,-12.0,retain counts; ABS perturbation can break additivity
3715,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3717,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3719,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3720,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
3722,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3723,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3725,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3726,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
3727,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
3728,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3730,family_additivity,9.0,retain counts; ABS perturbation can break additivity
3732,family_additivity,2.0,retain counts; ABS perturbation can break additivity
3733,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3735,family_additivity,11.0,retain counts; ABS perturbation can break additivity
3738,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3739,family_additivity,7.0,retain counts; ABS perturbation can break additivity
3740,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3741,family_additivity,10.0,retain counts; ABS perturbation can break additivity
3744,family_additivity,-11.0,retain counts; ABS perturbation can break additivity
3747,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3749,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3750,family_additivity,5.0,retain counts; ABS perturbation can break additivity
3751,family_additivity,-9.0,retain counts; ABS perturbation can break additivity
3752,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
3753,family_additivity,-10.0,retain counts; ABS perturbation can break additivity
3754,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3755,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3756,family_additivity,-9.0,retain counts; ABS perturbation can break additivity
3757,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3758,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3759,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3760,family_additivity,4.0,retain counts; ABS perturbation can break additivity
3761,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3762,family_additivity,-9.0,retain counts; ABS perturbation can break additivity
3763,family_additivity,1.0,retain counts; ABS perturbation can break additivity
3764,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3765,family_additivity,6.0,retain counts; ABS perturbation can break additivity
3766,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
3775,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
3777,family_additivity,3.0,retain counts; ABS perturbation can break additivity
3778,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
