postcode,check,difference,action
2079,family_additivity,6.0,retain counts; ABS perturbation can break additivity
2080,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2081,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2083,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2084,family_additivity,6.0,retain counts; ABS perturbation can break additivity
2085,family_additivity,-9.0,retain counts; ABS perturbation can break additivity
2087,family_additivity,7.0,retain counts; ABS perturbation can break additivity
2088,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2089,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2090,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
2093,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
2094,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2095,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
2096,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2097,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2099,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2100,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2101,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
2102,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2103,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2104,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2105,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2106,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2107,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
2108,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2110,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2111,family_additivity,6.0,retain counts; ABS perturbation can break additivity
2112,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2113,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2114,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2116,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2118,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2119,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2120,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
2121,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2122,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2125,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2126,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
2127,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2128,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2130,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2131,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2132,family_additivity,7.0,retain counts; ABS perturbation can break additivity
2133,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2135,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
2136,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2137,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2138,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2140,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2142,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2143,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2144,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2145,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2146,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2147,family_additivity,8.0,retain counts; ABS perturbation can break additivity
2148,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
2150,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2151,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
