industry_group,merchants_selected,mean_final_score,mean_balanced_score,mean_risk_safety_score,best_overall_rank,worst_overall_rank
"Home, Garden & Living",10,83.77573777982462,85.18637450129766,71.08000728656717,1,35
"Digital, Technology & Communications",10,83.57005918957509,84.73637529237365,73.0732142643881,3,47
"Mobility, Health & Specialist Services",10,83.53683365367638,84.8746922992586,71.4961058434363,4,49
"Creative, Books & Leisure",10,83.19614653414,84.48838470259314,71.56600301806168,5,78
"Art, Gifts, Jewellery & Fashion",10,82.88534577717964,84.01749965112313,72.69596091168816,17,56
